2024 131   0  0    -3.36     2.20    -4.07   -415.1    -28.5    -26.8    5.88     76754     6.0 0 0   0.2551    1.98   0.0300   0.0500     0.0
2024 131   1  0    -1.86    -2.03    -2.40   -410.1    -25.1    -37.4    5.69     92506    -1.0 0 0   0.2185    1.88  -0.0275   0.3488   -19.1
2024 131   2  0    -2.33     5.46     2.53   -428.4    -37.8    -29.3    7.26     68254    -4.0 0 0   0.1879    2.61   0.0475   0.2037   -25.3
2024 131   3  0    -1.86    -2.03    -4.14   -425.5    -11.6    -11.8   10.35     27245     0.0 0 0   0.1654    3.64   0.0014   0.4704   -24.1
2024 131   4  0    -0.83    -0.31    -2.12   -426.1    -10.5    -12.8   13.27     56778    10.0 0 0   0.1523    4.67  -0.0000   0.1677   -20.0
2024 131   5  0    -0.02    -0.38    -1.00   -422.2    -20.5    -23.8   10.66     64693     0.0 0 0   0.1495    3.70  -0.0009   0.1341   -25.5
2024 131   6  0    -0.21    -0.96    -1.64   -405.6     10.4    -21.7    9.99     51312    -7.0 0 0   0.1572    3.19  -0.0003   0.2871   -28.1
2024 131   7  0     1.18    -1.27    -1.62   -411.0    -14.2    -23.8   10.02     50059     9.0 0 0   0.1749    3.29  -0.0034   0.2875   -17.7
2024 131   8  0     2.02    -1.02     0.44   -407.0      6.5    -14.4    9.26     57549     2.0 0 0   0.2015    2.98  -0.0109   0.0645   -20.1
2024 131   9  0     1.00    -1.87    -0.68   -424.5    -27.8    -35.8    8.02     67088     1.0 0 0   0.2353    2.83  -0.0332   0.2522   -20.2
2024 131  10  0    -1.42    -1.74    -3.13   -436.0      0.6     -0.5    3.63    145592     2.0 0 0   0.2743    1.34  -0.0004   0.4252   -13.7
2024 131  11  0    -2.05    -1.93    -3.09   -435.5      0.6     -0.5    3.56    157710    -5.0 0 0   0.3158    1.31  -0.0006   0.4513   -18.7
2024 131  12  0    -2.53    -1.21    -2.81   -456.1      0.7     -0.5    7.03    372841    -9.0 0 0   0.3574    2.83  -0.0001   0.3410   -25.0
