2024 05 10 00.0 01.50 33733.00000 33733.06250  2.667   12 1
2024 05 10 03.0 04.50 33733.12500 33733.18750  2.667   12 1
2024 05 10 06.0 07.50 33733.25000 33733.31250  2.333    9 1
2024 05 10 09.0 10.50 33733.37500 33733.43750  2.000    7 1
2024 05 10 12.0 13.50 33733.50000 33733.56250  3.667   22 1
2024 05 10 15.0 16.50 33733.62500 33733.68750  7.667  179 1
2024 05 10 18.0 19.50 33733.75000 33733.81250  8.667  300 1
2024 05 10 21.0 22.50 33733.87500 33733.93750  8.667  300 1
2024 05 11 00.0 01.50 33734.00000 33734.06250  9.000  400 1
2024 05 11 03.0 04.50 33734.12500 33734.18750  8.333  236 1
2024 05 11 06.0 07.50 33734.25000 33734.31250  8.333  236 1
2024 05 11 09.0 10.50 33734.37500 33734.43750  9.000  400 1
2024 05 11 12.0 13.50 33734.50000 33734.56250  8.667  300 1
2024 05 11 15.0 16.50 33734.62500 33734.68750  8.333  236 1
2024 05 11 18.0 19.50 33734.75000 33734.81250  7.667  179 1
2024 05 11 21.0 22.50 33734.87500 33734.93750  7.667  179 1
