#_____________ QUERY RESULTS SUMMARY ____________________________________
#
#      STATION: ATHN, MXCO, NANM, CALM, ROME, AATB, BKSN, JUNG, JUNG1, LMKS, IRK2, IRK3, DRBS, NEWK, KIEL2, YKTK, KERG, CALG, OULU, APTY, TXBY, FSMT, INVK, JBGO, NAIN, PWNK, THUL, MWSB, MWSN, SOPB, SOPO, DOMB, DOMC, TERA
#   START TIME: 2024-10-10 15:00:00 UTC
#     END TIME: 2024-10-11 10:55:00 UTC
#   NMDB TABLE: revised original
#  REV EQ. ORI: ATHN, NANM, CALM, ROME, AATB, BKSN, LMKS, IRK2, IRK3, DRBS, KIEL2, YKTK, KERG, CALG, OULU, APTY, TXBY, JBGO, MWSB, MWSN, DOMB, DOMC, TERA, revised data are identical to the original data for this period
#    DATA TYPE: corr_for_efficiency
#    AVERAGING: Yes / 5 min
# ORIGINAL RES: 1 min
#________________________________________________________________________
#
# Timestamps always correspond to the beginning of the time interval 
#________________________________________________________________________
#
# ____________________________________________________________________________________________________
#|                                                                                                    |
#| Data retrieved via NMDB are the property of the individual data providers. These data are free for |
#| non commercial use to within the restriction imposed by the providers. If you use such data for    |
#| your research or applications, please acknowledge the origin by a sentence like 'We acknowledge    |
#| the NMDB database (www.nmdb.eu) founded under the European Union's FP7 programme (contract no. 213 |
#| 007), and the PIs of individual neutron monitors at: Athens (Physics Department of the National an |
#| d Kapodistrian University of Athens, Greece), Mexico (Cosmic Ray Group, Geophysical Institute, Nat |
#| ional Autonomous University of Mexico, UNAM, Mexico), Nor-Amberd (Cosmic Ray Division, CRD, of A.I |
#| . Alikhanyan National Science Laboratory, Yerevan, Armenia), NM de Castilla la Mancha (Space Resea |
#| rch Group SRG-UAH, University of Alcala, Spain), Rome (SVIRCO Observatory, INAF IFSI-UNIRomaTre, I |
#| taly), Alma-Ata B (Institute of Ionosphere, Almaty, Kazakhstan), Baksan (Institute of Nuclear Phys |
#| ics, Russian Academy of Sciences, Russia), IGY Jungfraujoch and NM64 Jungfraujoch (Physikalisches  |
#| Institut, University of Bern, Switzerland), Lomnicky Stit (IEP SAS Kosice, Slovakia), Irkustk 2 an |
#| d Irkutsk 3 (Institute of Solar-Terrestrial Physics, ISFZ, Russian Academy of Sciences, Irkutsk, R |
#| ussia), Dourbes (Royal Meteorological Institute of Belgium, Brussels, Belgium), Newark, Fort Smith |
#| , Inuvik, Nain, Peawanuck and Thule (University of Delaware Department of Physics and Astronomy an |
#| d the Bartol Research Institute, USA), KielRT (Institut fur Experimentelle und Angewandte Physik,  |
#| Christian-Albrechts-Universitat zu Kiel, Germany), Yakutsk and Tixie Bay (Institute Of Cosmophysic |
#| al Research And Aeronomy Russian Academy Of Sciences, Yakutsk, Yakutia, Russia), Kerguelen and Ter |
#| re Adelie (Observatoire de Paris and the French Polar Institute IPEV, France), Calgary (), Oulu, D |
#| ome C mini NM (bare) and Dome C mini NM (Sodankyla Geophysical Observatory of the University of Ou |
#| lu, Finland), Apatity (Polar Geophysical Institute, Apatity, Murmansk Region, Russia), JangBogo (C |
#| honnam National University, Department of Earth Science Education, South Korea), Mawson Bare and M |
#| awson (Mahidol University, Bangkok, THAILAND), South Pole Bare and South Pole (University of Wisco |
#| nsin, River Falls, USA)                                                                            |
#|____________________________________________________________________________________________________|
#
DATE       HOUR        ATHN    MXCO    NANM    CALM    ROME    AATB    BKSN    JUNG   JUNG1    LMKS    IRK2    IRK3    DRBS    NEWK   KIEL2    YKTK    KERG    CALG    OULU    APTY    TXBY    FSMT    INVK    JBGO    NAIN    PWNK    THUL    MWSB    MWSN    SOPB    SOPO    DOMB    DOMC    TERA
2024-10-10 15:00:00  50.401 207.707   1.137  67.293 117.943 1200.440 110.624 143.493 327.309 400.714    null 377.600  98.147  83.544 153.777 190.587 196.111 258.449  92.664 151.029  90.107 186.994 166.068 231.700 185.510 190.870 108.152    null    null 119.038 249.726   4.270  15.863 101.691
2024-10-10 15:05:00  49.140 206.393   1.159  67.673 119.953 1210.620 108.985 139.667 326.656 403.110    null 377.200  97.418  84.006 158.396 191.253 197.034 255.952  92.763 151.366  89.173 185.680 165.674 233.900 183.924 187.354 107.914    null    null 118.224 251.978   4.203  15.513 102.774
2024-10-10 15:10:00  48.684 205.737   1.142  67.510 116.417 1199.880 109.170 140.446 327.060 398.980    null 378.800  98.796  84.732 156.853 192.587 195.638 256.520  92.608 152.627  89.093 186.940 165.624 230.950 184.682 188.574 106.614    null    null 119.990 249.552   4.248  15.416 102.408
2024-10-10 15:15:00  50.935 204.990   1.126  67.700 114.133 1186.300 109.469 140.673 324.065 400.273    null 377.200  97.220  83.888 155.786 191.253 193.968 256.624  92.728 150.761  89.040 186.270 165.444 228.350 184.444 187.990 105.738    null    null 118.920 248.636   4.317  15.431 101.986
2024-10-10 15:20:00  49.643 208.527   1.124  65.890 115.320 1181.540 107.436 138.221 326.063 394.731    null 369.800  97.076  83.282 155.459 186.480 195.570 255.042  92.860 150.680  87.893 186.094 162.994 230.200 186.904 188.864 105.628    null    null 118.724 249.730   4.167  14.936 101.659
2024-10-10 15:25:00  50.438 202.013   1.123  68.767 115.410 1187.800 109.005 139.823 320.236 395.581    null 368.800  98.087  84.326 154.174 188.773 197.175 256.707  91.774 152.061  88.213 184.996 163.888 229.100 183.298 192.258 105.212    null    null 118.386 250.702   4.229  15.218 101.717
2024-10-10 15:30:00  48.721 202.653   1.130  65.573 115.456 1167.960 110.047 139.797 320.620 396.102    null 366.800  97.103  83.104 155.486 186.640 194.572 255.654  91.101 149.136  87.280 183.162 162.778 229.833 184.228 188.010 105.628    null    null 119.200 250.334   4.042  15.550 101.866
2024-10-10 15:35:00  49.546 204.280   1.122  66.580 114.410 1178.780 109.991 141.315 323.298 394.797    null 371.000  96.218  83.082 156.521 189.467 194.947 252.634  92.848 151.452  87.867 186.040 165.670 228.000 182.380 185.154 105.760    null    null 118.006 249.196   4.293  15.622  99.870
2024-10-10 15:40:00  49.232 204.710   1.134  66.527 117.057 1180.100 108.674 141.107 319.900 398.698    null 369.800  97.396  83.410 158.332 189.360 194.504 254.480  92.112 151.484  88.587 184.034 164.364 233.000 183.244 188.618 105.382    null    null 118.606 249.562   4.119  15.413 100.919
2024-10-10 15:45:00  49.746 206.817   1.121  67.703 115.563 1187.280 108.658 140.272 325.507 396.327    null 372.200  96.593  84.240 156.645 187.440 193.277 254.599  91.038 150.223  88.880 182.324 166.324 233.600 183.468 184.626 101.208    null    null 119.552 248.670   4.009  15.434 101.411
2024-10-10 15:50:00  51.193 204.907   1.117  68.133 115.667 1174.000 109.229 140.145 323.791 400.422    null 371.600  96.174  83.128 155.543 188.880 195.574 258.417  91.911 149.249  87.520 185.302 164.146 233.000 184.894 188.452 105.690    null    null 119.492 246.950   4.198  15.411 100.849
2024-10-10 15:55:00  49.715 207.073   1.114  64.993 114.990 1181.380 109.646 140.067 323.055 396.116    null 366.600  95.957  83.630 155.746 185.147 194.504 256.329  91.166 149.770  87.653 182.904 167.146 227.150 182.770 186.846 105.624    null    null 119.928 249.036   3.973  15.274 102.187
