#Avg |Bx| across y-z plane in magnetotail
#FORMAT:
YEAR    DAY    HOUR    MIN    x:-12.00    -11.00      -10.00       -9.00       -8.00       -7.00       -6.00       -5.00       -4.00       -3.00      
2018      237        12       30               13.           16.           19.           24.           30.           41.           57.           84.          130.          209.  
2018      237        12       35               13.           16.           19.           24.           31.           41.           57.           85.          130.          209.  
2018      237        12       40               13.           16.           19.           24.           31.           41.           57.           85.          130.          209.  
2018      237        12       45               13.           16.           19.           24.           31.           41.           57.           85.          130.          209.  
2018      237        12       50               13.           16.           19.           24.           31.           41.           57.           85.          130.          209.  
2018      237        12       55               13.           16.           19.           24.           31.           41.           58.           85.          130.          209.  
2018      237        13        0               13.           16.           19.           24.           31.           41.           58.           85.          130.          210.  
2018      237        13        5               13.           16.           19.           24.           31.           41.           58.           85.          130.          210.  
2018      237        13       10               13.           16.           19.           24.           31.           41.           58.           85.          130.          210.  
2018      237        13       15               13.           16.           19.           24.           31.           41.           58.           85.          130.          210.  
2018      237        13       20               13.           16.           19.           24.           31.           41.           58.           85.          130.          210.  
2018      237        13       25               13.           16.           19.           24.           31.           41.           58.           85.          130.          210.  
2018      237        13       30               13.           16.           20.           24.           31.           41.           58.           85.          130.          210.  
2018      237        13       35               14.           16.           20.           25.           32.           42.           58.           85.          130.          210.  
2018      237        13       40               14.           16.           20.           25.           31.           42.           58.           85.          130.          210.  
2018      237        13       45               14.           17.           20.           25.           32.           42.           58.           85.          130.          209.  
2018      237        13       50               14.           17.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        13       55               14.           17.           21.           26.           32.           43.           59.           86.          130.          209.  
2018      237        14        0               14.           17.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14        5               15.           17.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14       10               15.           18.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14       15               15.           18.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14       20               15.           18.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14       25               15.           18.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14       30               15.           18.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14       35               15.           18.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14       40               15.           18.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14       45               15.           18.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        14       50               15.           18.           22.           27.           33.           43.           59.           86.          131.          209.  
2018      237        14       55               15.           18.           22.           27.           33.           43.           59.           86.          131.          209.  
2018      237        15        0               15.           18.           22.           27.           34.           44.           60.           86.          130.          209.  
2018      237        15        5               15.           18.           22.           27.           33.           43.           59.           86.          131.          209.  
2018      237        15       10               15.           17.           21.           26.           33.           43.           59.           86.          131.          209.  
2018      237        15       15               15.           17.           21.           26.           33.           43.           59.           86.          131.          210.  
2018      237        15       20               15.           17.           21.           26.           33.           43.           59.           86.          131.          209.  
2018      237        15       25               14.           17.           21.           26.           33.           43.           59.           86.          131.          210.  
2018      237        15       30               15.           17.           21.           26.           33.           43.           59.           86.          131.          210.  
2018      237        15       35               15.           17.           21.           26.           33.           43.           59.           86.          131.          210.  
2018      237        15       40               15.           17.           21.           26.           33.           43.           59.           86.          131.          209.  
2018      237        15       45               15.           17.           21.           26.           33.           43.           59.           86.          131.          209.  
2018      237        15       50               15.           17.           21.           26.           33.           43.           59.           86.          131.          209.  
2018      237        15       55               14.           17.           20.           25.           32.           42.           59.           86.          131.          210.  
2018      237        16        0               14.           17.           20.           25.           32.           42.           59.           86.          131.          210.  
2018      237        16        5               14.           16.           20.           25.           32.           42.           58.           85.          131.          210.  
2018      237        16       10               14.           16.           20.           25.           32.           42.           58.           85.          131.          210.  
2018      237        16       15               14.           16.           20.           25.           31.           42.           58.           85.          131.          210.  
2018      237        16       20               14.           16.           20.           25.           31.           41.           58.           85.          131.          210.  
2018      237        16       25               14.           16.           20.           25.           31.           41.           58.           85.          131.          210.  
2018      237        16       30               14.           17.           20.           25.           32.           42.           58.           85.          131.          210.  
2018      237        16       35               14.           17.           21.           26.           32.           42.           59.           86.          130.          209.  
2018      237        16       40               15.           17.           21.           26.           33.           43.           59.           86.          130.          209.  
2018      237        16       45               14.           17.           21.           25.           32.           42.           59.           85.          130.          209.  
2018      237        16       50               14.           17.           20.           25.           32.           42.           58.           85.          130.          209.  
2018      237        16       55               14.           17.           20.           25.           32.           42.           58.           85.          130.          209.  
2018      237        17        0               14.           17.           21.           25.           32.           42.           59.           85.          130.          209.  
2018      237        17        5               14.           17.           20.           25.           32.           42.           58.           85.          130.          209.  
2018      237        17       10               14.           17.           21.           25.           32.           42.           59.           85.          130.          209.  
2018      237        17       15               14.           16.           20.           24.           31.           41.           58.           85.          130.          210.  
2018      237        17       20               14.           17.           20.           25.           32.           42.           58.           85.          130.          209.  
2018      237        17       25               14.           17.           20.           25.           32.           42.           58.           85.          130.          209.  
2018      237        17       30               14.           16.           20.           25.           31.           41.           58.           85.          130.          209.  
2018      237        17       35               14.           16.           20.           25.           31.           41.           58.           85.          130.          209.  
2018      237        17       40               14.           17.           20.           25.           32.           42.           58.           85.          130.          208.  
2018      237        17       45               14.           16.           20.           25.           31.           41.           58.           85.          130.          209.  
2018      237        17       50               14.           16.           20.           25.           31.           41.           58.           85.          130.          209.  
2018      237        17       55               13.           16.           20.           24.           31.           41.           58.           85.          130.          209.  
2018      237        18        0               13.           16.           20.           24.           31.           41.           58.           85.          130.          209.  
2018      237        18        5               14.           16.           20.           25.           31.           41.           58.           85.          129.          208.  
2018      237        18       10               14.           16.           20.           24.           31.           41.           58.           85.          129.          208.  
2018      237        18       15               13.           16.           19.           24.           31.           41.           57.           84.          129.          208.  
2018      237        18       20               13.           16.           19.           24.           31.           41.           57.           84.          129.          208.  
2018      237        18       25               14.           16.           20.           25.           31.           41.           58.           84.          129.          207.  
