#Avg Pressure across y-z plane in magnetotail
#FORMAT:
YEAR    DAY    HOUR    MIN    x:-12.00    -11.00      -10.00       -9.00       -8.00       -7.00       -6.00       -5.00       -4.00       -3.00      
2018      237        12       30               1818.           2862.           4745.           7775.          15726.          44592.         133796.         441343.        1889336.        9044101.  
2018      237        12       35               1862.           2941.           4862.           7919.          15896.          44714.         133261.         437732.        1873537.        8986613.  
2018      237        12       40               1929.           3058.           5032.           8120.          16126.          44862.         132440.         432444.        1850543.        8901859.  
2018      237        12       45               1833.           2886.           4780.           7818.          15776.          44650.         133821.         441228.        1889288.        9050312.  
2018      237        12       50               1891.           2993.           4940.           8019.          16030.          44882.         133241.         436523.        1867616.        8970241.  
2018      237        12       55               1963.           3121.           5126.           8239.          16289.          45089.         132491.         431115.        1843322.        8880265.  
2018      237        13        0               1933.           3068.           5052.           8158.          16211.          45087.         133032.         433950.        1855125.        8926117.  
2018      237        13        5               1904.           3018.           4982.           8081.          16137.          45090.         133566.         436709.        1866557.        8970576.  
2018      237        13       10               1901.           3014.           4978.           8080.          16150.          45150.         133789.         437420.        1868929.        8980909.  
2018      237        13       15               1935.           3074.           5064.           8182.          16266.          45233.         133430.         434971.        1858138.        8941645.  
2018      237        13       20               1876.           2972.           4920.           8022.          16113.          45229.         134439.         440177.        1879378.        9021610.  
2018      237        13       25               1870.           2965.           4913.           8021.          16134.          45311.         134676.         440730.        1880486.        9025003.  
2018      237        13       30               2065.           3309.           5405.           8590.          16793.          45829.         132701.         426543.        1816235.        8783379.  
2018      237        13       35               2536.           4111.           6483.           9731.          18004.          46733.         128992.         400674.        1701422.        8361858.  
2018      237        13       40               2380.           3850.           6141.           9384.          17664.          46550.         130333.         408830.        1735844.        8486112.  
2018      237        13       45               2784.           4527.           7025.          10291.          18616.          47307.         127716.         389853.        1651518.        8180019.  
2018      237        13       50               3323.           5406.           8143.          11420.          19793.          48314.         125304.         370738.        1566695.        7886764.  
2018      237        13       55               3233.           5262.           7964.          11243.          19628.          48232.         125880.         374076.        1580001.        7931119.  
2018      237        14        0               3296.           5363.           8092.          11373.          19767.          48370.         125723.         372353.        1571954.        7904353.  
2018      237        14        5               3529.           5737.           8562.          11848.          20262.          48809.         124941.         365569.        1541795.        7804627.  
2018      237        14       10               4133.           6697.           9760.          13066.          21541.          49979.         123387.         350496.        1474506.        7590870.  
2018      237        14       15               4123.           6681.           9741.          13051.          21544.          50049.         123672.         351308.        1476286.        7594995.  
2018      237        14       20               3996.           6483.           9496.          12804.          21303.          49891.         124199.         354714.        1489709.        7634892.  
2018      237        14       25               3875.           6291.           9256.          12562.          21054.          49684.         124587.         357871.        1503145.        7676660.  
2018      237        14       30               3876.           6294.           9261.          12568.          21072.          49740.         124739.         358164.        1503270.        7675690.  
2018      237        14       35               4010.           6506.           9526.          12841.          21375.          50071.         124619.         355343.        1489033.        7628530.  
2018      237        14       40               3964.           6436.           9438.          12755.          21310.          50093.         125022.         356949.        1493767.        7639518.  
2018      237        14       45               4123.           6686.           9749.          13076.          21669.          50497.         124927.         353742.        1477133.        7583503.  
2018      237        14       50               4182.           6779.           9864.          13194.          21800.          50641.         124907.         352658.        1471310.        7563523.  
2018      237        14       55               4342.           7031.          10177.          13517.          22156.          51026.         124793.         349553.        1455499.        7511297.  
2018      237        15        0               4797.           7738.          11051.          14413.          23084.          51846.         123937.         340606.        1416194.        7396790.  
2018      237        15        5               4194.           6801.           9891.          13232.          21900.          50929.         125558.         353389.        1468241.        7540421.  
2018      237        15       10               3710.           6038.           8943.          12275.          20935.          50160.         127072.         365310.        1518342.        7691991.  
2018      237        15       15               3401.           5547.           8329.          11659.          20314.          49670.         128232.         374035.        1555137.        7807996.  
2018      237        15       20               3741.           6089.           9005.          12341.          21033.          50339.         127293.         364901.        1513242.        7666997.  
2018      237        15       25               3287.           5365.           8100.          11432.          20097.          49535.         128811.         377624.        1569250.        7850788.  
