X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2018    237       6     35    0.00    13.416
2018    237       6     40    0.00    13.416
2018    237       6     45    0.00    13.416
2018    237       6     50    0.00    13.416
2018    237       6     55    0.00    13.416
2018    237       7      0    0.00    13.416
2018    237       7      5    0.00    13.416
2018    237       7     10    0.00    13.416
2018    237       7     15    0.00    13.416
2018    237       7     20    0.00    13.416
2018    237       7     25    0.00    13.416
2018    237       7     30    0.00    13.416
2018    237       7     35    0.00    13.416
2018    237       7     40    0.00    13.416
2018    237       7     45    0.00    13.416
2018    237       7     50    0.00    13.416
2018    237       7     55    0.00    13.416
2018    237       8      0    0.00    13.416
2018    237       8      5    0.00    13.416
2018    237       8     10    0.00    13.416
2018    237       8     15    0.00    13.416
2018    237       8     20    0.00    13.416
2018    237       8     25    0.00    13.416
2018    237       8     30    0.00    13.416
2018    237       8     35    0.00    13.416
2018    237       8     40    0.00    13.416
2018    237       8     45    0.00    13.416
2018    237       8     50    0.00    13.416
2018    237       8     55    0.00    13.416
2018    237       9      0    0.00    13.416
2018    237       9      5    0.00    13.416
2018    237       9     10    0.00    13.416
2018    237       9     15    0.00    13.416
2018    237       9     20    0.00    13.416
2018    237       9     25    0.00    13.416
2018    237       9     30    0.00    13.416
2018    237       9     35    0.00    13.416
2018    237       9     40    0.00    13.416
2018    237       9     45    0.00    13.416
2018    237       9     50    0.00    13.416
2018    237       9     55    0.00    13.416
2018    237      10      0    0.00    13.416
2018    237      10      5    0.00    13.416
2018    237      10     10    0.00    13.416
2018    237      10     15    0.00    13.416
2018    237      10     20    0.00    13.416
2018    237      10     25    0.00    13.416
2018    237      10     30    0.00    13.416
2018    237      10     35    0.00    13.416
2018    237      10     40    0.00    13.416
2018    237      10     45    0.00    13.416
2018    237      10     50    0.00    13.416
2018    237      10     55    0.00    13.416
2018    237      11      0    0.00    13.416
2018    237      11      5    0.00    13.416
2018    237      11     10    0.00    13.416
2018    237      11     15    0.00    13.416
2018    237      11     20    0.00    13.416
2018    237      11     25    0.00    13.416
2018    237      11     30    0.00    13.416
2018    237      11     35    0.00    13.416
2018    237      11     40    0.00    13.416
2018    237      11     45    0.00    13.416
2018    237      11     50    0.00    13.416
2018    237      11     55    0.00    13.416
2018    237      12      0    0.00    13.416
2018    237      12      5    0.00    13.416
2018    237      12     10    0.00    13.416
2018    237      12     15    0.00    13.416
2018    237      12     20    0.00    13.416
2018    237      12     25    0.00    13.416
2018    237      12     30    0.00    13.416
2018    237      12     35    0.00    13.416
2018    237      12     40    0.00    13.416
2018    237      12     45    0.00    13.416
2018    237      12     50    0.00    13.416
2018    237      12     55    0.00    13.416
2018    237      13      0    0.00    13.416
2018    237      13      5    0.00    13.416
2018    237      13     10    0.00    13.416
2018    237      13     15    0.00    13.416
2018    237      13     20    0.00    13.416
2018    237      13     25    0.00    13.416
2018    237      13     30    0.00    13.416
2018    237      13     35    0.00    13.416
2018    237      13     40    0.00    13.416
2018    237      13     45    0.00    13.416
2018    237      13     50    0.00    13.416
2018    237      13     55    0.00    13.416
2018    237      14      0    0.00    13.416
2018    237      14      5    0.00    13.416
2018    237      14     10    0.00    13.416
2018    237      14     15    0.00    13.416
2018    237      14     20    0.00    13.416
2018    237      14     25    0.00    13.416
2018    237      14     30    0.00    13.416
2018    237      14     35    0.00    13.416
2018    237      14     40    0.00    13.416
2018    237      14     45    0.00    13.416
2018    237      14     50    0.00    13.416
2018    237      14     55    0.00    13.416
2018    237      15      0    0.00    13.416
2018    237      15      5    0.00    13.416
2018    237      15     10    0.00    13.416
2018    237      15     15    0.00    13.416
2018    237      15     20    0.00    13.416
2018    237      15     25    0.00    13.416
2018    237      15     30    0.00    13.416
2018    237      15     35    0.00    13.416
2018    237      15     40    0.00    13.416
2018    237      15     45    0.00    13.416
2018    237      15     50    0.00    13.416
2018    237      15     55    0.00    13.416
2018    237      16      0    0.00    13.416
2018    237      16      5    0.00    13.416
2018    237      16     10    0.00    13.416
2018    237      16     15    0.00    13.416
2018    237      16     20    0.00    13.416
2018    237      16     25    0.00    13.416
2018    237      16     30    0.00    13.416
2018    237      16     35    0.00    13.416
2018    237      16     40    0.00    13.416
2018    237      16     45    0.00    13.416
2018    237      16     50    0.00    13.416
2018    237      16     55    0.00    13.416
