X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2018    237      12     35        0.00    13.416
2018    237      12     40        0.00    13.416
2018    237      12     45        0.00    13.416
2018    237      12     50        0.00    13.416
2018    237      12     55        0.00    13.416
2018    237      13      0        0.00    13.416
2018    237      13      5        0.00    13.416
2018    237      13     10        0.00    13.416
2018    237      13     15        0.00    13.416
2018    237      13     20        0.00    12.095
2018    237      13     25      177.82    12.055
2018    237      13     30        0.00    13.416
2018    237      13     35        0.00    13.416
2018    237      13     40        0.00    13.416
2018    237      13     45        0.00    13.416
2018    237      13     50        0.00    13.416
2018    237      13     55        0.00    13.416
2018    237      14      0        0.00    13.416
2018    237      14      5        0.00    13.416
2018    237      14     10        0.00    13.416
2018    237      14     15        0.00    13.416
2018    237      14     20        0.00    13.416
2018    237      14     25        0.00    13.416
2018    237      14     30        0.00    13.416
2018    237      14     35        0.00    13.416
2018    237      14     40        0.00    13.416
2018    237      14     45        0.00    13.416
2018    237      14     50        0.00    13.416
2018    237      14     55        0.00    13.416
2018    237      15      0        0.00    13.416
2018    237      15      5        0.00    13.416
2018    237      15     10        0.00    13.416
2018    237      15     15        0.00    13.416
2018    237      15     20        0.00    13.416
2018    237      15     25        0.00    13.416
2018    237      15     30        0.00    13.416
2018    237      15     35        0.00    13.416
2018    237      15     40        0.00    13.416
2018    237      15     45        0.00    13.416
2018    237      15     50        0.00    13.416
2018    237      15     55        0.00    13.416
2018    237      16      0        0.00    13.416
2018    237      16      5        0.00    13.416
2018    237      16     10        0.00    13.416
2018    237      16     15        0.00    13.416
2018    237      16     20        0.00    13.416
2018    237      16     25        0.00    13.416
2018    237      16     30        0.00    13.416
2018    237      16     35        0.00    13.416
2018    237      16     40        0.00    13.416
2018    237      16     45        0.00    13.416
2018    237      16     50        0.00    13.416
2018    237      16     55        0.00    13.416
2018    237      17      0        0.00    13.416
2018    237      17      5        0.00    13.416
2018    237      17     10        0.00    13.416
2018    237      17     15        0.00    13.416
2018    237      17     20        0.00    13.416
2018    237      17     25        0.00    13.416
2018    237      17     30        0.00    13.416
2018    237      17     35        0.00    13.416
2018    237      17     40        0.00    13.416
2018    237      17     45        0.00    13.416
2018    237      17     50        1.52    11.807
2018    237      17     55        9.48    11.407
2018    237      18      0        0.00    13.416
2018    237      18      5        0.00    13.416
2018    237      18     10        0.00    13.416
2018    237      18     15        0.00    13.416
2018    237      18     20        0.00    13.416
2018    237      18     25        0.00    13.416
2018    237      18     30        0.00    13.416
2018    237      18     35        0.00    13.416
2018    237      18     40        0.00    13.416
2018    237      18     45        0.00    13.416
2018    237      18     50        0.00    13.416
2018    237      18     55        0.00    13.416
2018    237      19      0        0.00    13.416
2018    237      19      5        0.00    13.416
2018    237      19     10        0.00    13.416
2018    237      19     15        0.00    13.416
2018    237      19     20        0.00    13.416
2018    237      19     25        0.00    13.416
2018    237      19     30        0.00    13.416
2018    237      19     35        0.00    13.416
2018    237      19     40        0.00    13.416
2018    237      19     45        0.00    13.416
2018    237      19     50        0.00    13.416
2018    237      19     55        0.00    13.416
2018    237      20      0        0.00    13.416
2018    237      20      5        0.00    13.416
2018    237      20     10        0.00    12.120
2018    237      20     15       25.87    11.995
2018    237      20     20        0.00    13.416
2018    237      20     25        0.00    13.416
2018    237      20     30        0.00    13.416
2018    237      20     35        0.00    13.416
2018    237      20     40        0.00    13.416
2018    237      20     45       34.98    12.022
2018    237      20     50        0.00    13.416
2018    237      20     55        0.00    13.416
2018    237      21      0        0.10     6.881
2018    237      21      5        0.00    13.416
2018    237      21     10        0.00    13.416
2018    237      21     15        0.00    13.416
2018    237      21     20        0.00    13.416
2018    237      21     25        0.00    13.416
2018    237      21     30        0.00    13.416
2018    237      21     35        0.00    13.416
2018    237      21     40        0.00    13.416
2018    237      21     45        0.08     6.895
2018    237      21     50        0.08     6.731
2018    237      21     55        0.06     6.731
2018    237      22      0        0.05     6.770
2018    237      22      5        0.05     6.684
2018    237      22     10        0.06     6.637
2018    237      22     15        0.09     6.630
2018    237      22     20        0.07     6.630
2018    237      22     25        0.08     6.544
2018    237      22     30        0.04     6.504
2018    237      22     35        0.04     6.412
2018    237      22     40        0.08     6.412
2018    237      22     45        0.08     6.366
2018    237      22     50        0.08     6.366
2018    237      22     55        0.04     6.280
2018    237      23      0        0.06     6.280
2018    237      23      5        0.08     6.274
2018    237      23     10        0.11     6.234
2018    237      23     15        0.09     6.234
2018    237      23     20        0.10     6.234
2018    237      23     25        0.09     6.228
2018    237      23     30        0.11     6.228
2018    237      23     35        0.09     6.223
2018    237      23     40        0.06     6.217
2018    237      23     45        0.08     6.217
2018    237      23     50        0.06     6.212
2018    237      23     55        0.11     6.212
2018    238       0      0        0.15     6.212
2018    238       0      5        0.16     6.212
2018    238       0     10        0.05     6.193
2018    238       0     15        0.05     6.197
2018    238       0     20        0.09     6.197
2018    238       0     25        0.08     6.153
2018    238       0     30        0.12     6.153
2018    238       0     35        0.13     6.153
2018    238       0     40        0.12     6.149
2018    238       0     45        0.15     6.149
2018    238       0     50        0.11     6.146
2018    238       0     55        0.17     6.146
2018    238       1      0        0.21     6.146
2018    238       1      5        0.18     6.102
2018    238       1     10        0.13     6.099
2018    238       1     15        0.18     6.099
2018    238       1     20        0.24     6.099
2018    238       1     25        0.27     6.099
2018    238       1     30        0.28     6.099
2018    238       1     35        0.29     6.096
2018    238       1     40        0.31     6.056
2018    238       1     45        0.31     6.056
2018    238       1     50        0.32     6.056
2018    238       1     55        0.30     6.056
2018    238       2      0        0.30     6.053
2018    238       2      5        0.26     6.091
2018    238       2     10        0.26     6.088
2018    238       2     15        0.34     6.088
2018    238       2     20        0.27     6.047
2018    238       2     25        0.33     6.086
2018    238       2     30        0.35     6.047
2018    238       2     35        0.27     6.045
2018    238       2     40        0.25     6.045
2018    238       2     45        0.30     6.045
2018    238       2     50        0.40     6.045
2018    238       2     55        0.31     6.043
2018    238       3      0        0.35     6.043
2018    238       3      5        0.37     6.003
2018    238       3     10        0.20     6.002
2018    238       3     15        0.28     6.002
2018    238       3     20        0.33     6.002
2018    238       3     25        0.39     6.002
2018    238       3     30        0.42     6.002
2018    238       3     35        0.52     6.002
2018    238       3     40        0.24     6.001
2018    238       3     45        0.33     6.001
2018    238       3     50        0.39     5.961
2018    238       3     55        0.39     5.961
2018    238       4      0        0.44     5.961
2018    238       4      5        0.43     6.001
2018    238       4     10        0.40     6.001
2018    238       4     15        0.56     6.001
2018    238       4     20        0.58     6.001
2018    238       4     25        0.13     5.961
2018    238       4     30        0.25     5.961
2018    238       4     35        0.26     5.961
2018    238       4     40        0.15     5.961
2018    238       4     45        0.07     5.961
2018    238       4     50        0.13     5.961
2018    238       4     55        0.18     5.961
2018    238       5      0        0.16     5.961
2018    238       5      5        0.12     5.961
2018    238       5     10        0.12     5.920
2018    238       5     15        0.05     5.920
2018    238       5     20        0.35     5.881
2018    238       5     25        0.69     5.921
2018    238       5     30        0.37     5.921
2018    238       5     35        0.05     5.921
2018    238       5     40        0.07     5.921
2018    238       5     45        2.16     5.921
2018    238       5     50        1.19     5.921
2018    238       5     55        0.95     5.921
2018    238       6      0        0.55     5.881
2018    238       6      5        0.58     5.881
2018    238       6     10        0.32     5.881
2018    238       6     15        0.62     5.881
2018    238       6     20        0.94     5.881
2018    238       6     25        1.10     5.881
2018    238       6     30        1.13     5.881
2018    238       6     35        0.72     5.882
2018    238       6     40        0.88     5.882
2018    238       6     45        1.72     5.882
2018    238       6     50        0.50     5.923
2018    238       6     55        0.96     5.923
2018    238       7      0        1.59     5.883
2018    238       7      5        2.18     5.883
2018    238       7     10        0.37     5.885
2018    238       7     15        0.84     5.885
2018    238       7     20        1.10     5.885
2018    238       7     25        1.61     5.885
2018    238       7     30        0.66     5.887
2018    238       7     35        1.11     5.887
2018    238       7     40        1.04     5.887
2018    238       7     45        0.56     5.889
2018    238       7     50        0.61     5.889
2018    238       7     55        1.32     5.889
2018    238       8      0        0.88     5.891
2018    238       8      5        0.72     5.891
2018    238       8     10        0.58     5.891
2018    238       8     15        0.96     5.931
2018    238       8     20        1.27     5.931
2018    238       8     25        1.08     5.894
2018    238       8     30        0.86     5.934
