X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2022     34       0     35        0.00    13.416
2022     34       0     40        0.00    13.416
2022     34       0     45        0.00    13.416
2022     34       0     50        0.00    13.416
2022     34       0     55        0.00    13.416
2022     34       1      0        0.00    13.416
2022     34       1      5        0.00    13.416
2022     34       1     10        0.00    13.416
2022     34       1     15        0.00    13.416
2022     34       1     20        0.00    13.416
2022     34       1     25        0.00    13.416
2022     34       1     30        0.00    13.416
2022     34       1     35        0.00    13.416
2022     34       1     40        0.00    13.416
2022     34       1     45        0.00    13.416
2022     34       1     50        0.00    13.416
2022     34       1     55        0.00    13.416
2022     34       2      0        0.00    13.416
2022     34       2      5        0.00    13.416
2022     34       2     10        0.00    13.416
2022     34       2     15        0.00    13.416
2022     34       2     20        0.00    13.416
2022     34       2     25        0.00    13.416
2022     34       2     30        0.00    13.416
2022     34       2     35        0.00    13.416
2022     34       2     40        0.00    13.416
2022     34       2     45        0.00    13.416
2022     34       2     50        0.00    13.416
2022     34       2     55        0.00    13.416
2022     34       3      0        0.21    13.416
2022     34       3      5        0.18    13.416
2022     34       3     10        0.00    13.416
2022     34       3     15        0.14    13.416
2022     34       3     20        0.17    13.416
2022     34       3     25        0.25    13.416
2022     34       3     30        0.22    13.416
2022     34       3     35        0.26    13.416
2022     34       3     40        0.17    13.416
2022     34       3     45        0.12    13.416
2022     34       3     50        0.28    13.416
2022     34       3     55        0.24    13.416
2022     34       4      0        0.29    13.416
2022     34       4      5        0.16    13.416
2022     34       4     10        0.31    13.416
2022     34       4     15        0.14    13.416
2022     34       4     20        0.17    13.416
2022     34       4     25        0.26    13.416
2022     34       4     30        0.16    13.416
2022     34       4     35        0.09    13.416
2022     34       4     40        0.19    13.416
2022     34       4     45        0.20    13.416
2022     34       4     50        0.14    13.416
2022     34       4     55        0.13    13.416
2022     34       5      0        0.15    13.416
2022     34       5      5        0.09    13.416
2022     34       5     10        0.11    13.416
2022     34       5     15        0.09    13.416
2022     34       5     20        0.10    13.416
2022     34       5     25        0.09    13.416
2022     34       5     30        0.11    13.416
2022     34       5     35        0.11    13.416
2022     34       5     40        0.10    13.416
2022     34       5     45        0.12    13.416
2022     34       5     50        0.09    13.416
2022     34       5     55        0.15    13.416
2022     34       6      0        0.09    13.416
2022     34       6      5        0.08    13.416
2022     34       6     10        0.08    13.416
2022     34       6     15        0.08    13.416
2022     34       6     20        0.14    13.416
2022     34       6     25        0.09    13.416
2022     34       6     30        0.06    13.416
2022     34       6     35        0.09    13.416
2022     34       6     40        0.10    13.416
2022     34       6     45        0.10    13.416
2022     34       6     50        0.09    13.416
2022     34       6     55        0.04    13.416
2022     34       7      0        0.09    13.416
2022     34       7      5        0.10    13.416
2022     34       7     10        0.12    13.416
2022     34       7     15        0.10    13.416
2022     34       7     20        0.15    13.416
2022     34       7     25        0.10    13.416
