X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2015    173      12     35        0.00    13.416
2015    173      12     40        0.00    13.416
2015    173      12     45        0.00    13.416
2015    173      12     50        0.00    13.416
2015    173      12     55        0.00    13.416
2015    173      13      0        0.00    13.416
2015    173      13      5        0.00    13.416
2015    173      13     10        0.00    13.416
2015    173      13     15        0.00    13.416
2015    173      13     20        0.00    13.416
2015    173      13     25        0.00    13.416
2015    173      13     30        0.00    13.416
2015    173      13     35        0.00    13.416
2015    173      13     40        0.00    13.416
2015    173      13     45        0.00    13.416
2015    173      13     50        0.00    13.416
2015    173      13     55        0.00    13.416
2015    173      14      0        0.00    13.416
2015    173      14      5        0.00    13.416
2015    173      14     10        0.00    13.416
2015    173      14     15        0.00    13.416
2015    173      14     20        0.00    13.416
2015    173      14     25        0.27    13.416
2015    173      14     30        0.22    13.416
2015    173      14     35        0.27    13.416
2015    173      14     40        0.28    13.416
2015    173      14     45        0.33    13.416
2015    173      14     50        0.00    13.416
2015    173      14     55        0.00    13.416
2015    173      15      0        0.00    13.416
2015    173      15      5        0.00    13.416
2015    173      15     10        0.00    13.416
2015    173      15     15        0.00    13.416
2015    173      15     20        0.00    13.416
2015    173      15     25        0.00    13.416
2015    173      15     30        0.00    13.416
2015    173      15     35        0.00    13.416
2015    173      15     40        0.25    13.416
2015    173      15     45        0.30    13.416
2015    173      15     50        0.30    13.416
2015    173      15     55        0.32    13.416
2015    173      16      0        0.33    13.416
2015    173      16      5        0.40    13.416
2015    173      16     10        0.47    13.416
2015    173      16     15        0.47    13.416
2015    173      16     20        0.54    13.416
2015    173      16     25        0.61    13.416
2015    173      16     30        0.70    13.416
2015    173      16     35        0.72    13.416
2015    173      16     40        0.71    13.416
2015    173      16     45        0.67    13.416
2015    173      16     50        0.62    13.416
2015    173      16     55        0.65    13.416
2015    173      17      0        0.61    13.416
2015    173      17      5        0.65    13.416
2015    173      17     10        0.59    13.416
2015    173      17     15        0.55    13.416
2015    173      17     20        0.51    13.416
2015    173      17     25        0.45    13.416
2015    173      17     30        0.35    13.416
2015    173      17     35        0.27    13.416
2015    173      17     40        0.22    13.416
2015    173      17     45        0.21    13.416
2015    173      17     50        0.14    13.416
2015    173      17     55        0.18    13.416
2015    173      18      0        0.15    13.416
2015    173      18      5        0.17    13.416
2015    173      18     10        0.14    13.416
2015    173      18     15        0.15    13.416
2015    173      18     20        0.18    13.416
2015    173      18     25        0.18    13.416
2015    173      18     30        0.19    13.416
2015    173      18     35        0.00    13.416
2015    173      18     40        0.22     9.655
2015    173      18     45        4.61     8.713
2015    173      18     50        3.25     8.867
2015    173      18     55       11.94     7.385
2015    173      19      0        3.48     7.008
2015    173      19      5        2.71     6.644
2015    173      19     10       11.75     6.173
2015    173      19     15        9.32     5.675
2015    173      19     20        6.45     5.437
2015    173      19     25       10.74     5.174
2015    173      19     30       14.87     4.976
2015    173      19     35       16.74     4.867
2015    173      19     40       16.21     4.777
2015    173      19     45        9.82     4.759
2015    173      19     50       10.92     4.759
2015    173      19     55       11.81     4.795
2015    173      20      0        6.41     4.884
2015    173      20      5        6.44     4.920
2015    173      20     10        6.10     4.991
2015    173      20     15        4.72     5.027
2015    173      20     20        4.83     5.045
2015    173      20     25        3.66     5.081
2015    173      20     30        3.30     5.134
2015    173      20     35        2.74     5.297
2015    173      20     40        2.41     5.423
2015    173      20     45        1.44     5.605
2015    173      20     50        1.39     5.788
2015    173      20     55        1.06     5.853
2015    173      21      0        1.64     5.638
2015    173      21      5        1.47     5.616
2015    173      21     10        2.05     5.506
2015    173      21     15        2.24     5.441
2015    173      21     20        3.23     5.325
2015    173      21     25        3.94     5.290
2015    173      21     30        4.21     5.296
2015    173      21     35        4.84     5.304
2015    173      21     40        4.42     5.352
2015    173      21     45        1.91     5.520
2015    173      21     50        2.79     5.515
2015    173      21     55        4.60     5.605
2015    173      22      0        1.51     5.744
2015    173      22      5        3.95     5.567
2015    173      22     10        1.74     5.654
2015    173      22     15        3.89     5.705
2015    173      22     20        2.34     6.148
2015    173      22     25        5.09     6.148
2015    173      22     30        4.82     6.160
2015    173      22     35        6.62     6.338
2015    173      22     40       13.09    13.416
2015    173      22     45       31.04    13.416
2015    173      22     50       17.25    13.416
2015    173      22     55        7.03    13.416
2015    173      23      0        0.00    13.416
2015    173      23      5        2.38     6.084
2015    173      23     10        1.53     5.971
2015    173      23     15        1.97     5.895
2015    173      23     20        2.24     5.820
2015    173      23     25        1.89     5.782
2015    173      23     30        1.52     5.909
2015    173      23     35        1.35     6.148
2015    173      23     40        0.00    13.416
2015    173      23     45        0.00    13.416
2015    173      23     50        0.00    13.416
2015    173      23     55        0.00    13.416
2015    174       0      0        0.00    13.416
2015    174       0      5        0.00    13.416
2015    174       0     10        0.00    13.416
2015    174       0     15        0.00    13.416
2015    174       0     20        0.00    13.416
2015    174       0     25        0.00    13.416
2015    174       0     30        0.00    13.416
2015    174       0     35        4.52    13.416
2015    174       0     40        5.34    13.416
