X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2024    131      11     35        0.00    13.416
2024    131      11     40        0.00    13.416
2024    131      11     45        0.00    13.416
2024    131      11     50        0.00    13.416
2024    131      11     55        0.00    13.416
2024    131      12      0        0.00    13.416
2024    131      12      5        0.00    13.416
2024    131      12     10        0.00    13.416
2024    131      12     15        0.00    13.416
2024    131      12     20        0.00    13.416
2024    131      12     25        0.00    13.416
2024    131      12     30        0.00    13.416
2024    131      12     35        0.00    13.416
2024    131      12     40        0.00    13.416
2024    131      12     45        0.00    13.416
2024    131      12     50        0.00    13.416
2024    131      12     55        0.00    13.416
2024    131      13      0        0.00    13.416
2024    131      13      5        0.00    13.416
2024    131      13     10        0.00    13.416
2024    131      13     15        0.00    13.416
2024    131      13     20        0.00    13.416
2024    131      13     25        0.00    13.416
2024    131      13     30        0.00    13.416
2024    131      13     35        0.00    13.416
2024    131      13     40        0.00    13.416
2024    131      13     45        0.00    13.416
2024    131      13     50        0.00    13.416
2024    131      13     55        0.00    13.416
2024    131      14      0        0.00    13.416
2024    131      14      5        0.00    13.416
2024    131      14     10        0.00    13.416
2024    131      14     15        0.00    13.416
2024    131      14     20        0.00    13.416
2024    131      14     25        0.00    13.416
2024    131      14     30        0.00    13.416
2024    131      14     35        0.00    13.416
2024    131      14     40        0.00    13.416
2024    131      14     45        0.00    13.416
2024    131      14     50        0.00    13.416
2024    131      14     55        0.00    13.416
2024    131      15      0        0.00    13.416
2024    131      15      5        0.00    13.416
2024    131      15     10        0.00    13.416
2024    131      15     15        0.00    13.416
2024    131      15     20        0.00    13.416
2024    131      15     25        0.00    13.416
2024    131      15     30        0.00    13.416
2024    131      15     35        0.00    13.416
2024    131      15     40        0.00    13.416
2024    131      15     45        0.00    13.416
2024    131      15     50        0.00    13.416
2024    131      15     55        0.00    13.416
2024    131      16      0        0.00    13.416
2024    131      16      5        0.00    13.416
2024    131      16     10        0.00    13.416
2024    131      16     15        0.00    13.416
2024    131      16     20        0.00    13.416
2024    131      16     25        0.00    13.416
2024    131      16     30        0.00    13.416
2024    131      16     35        0.00    13.416
2024    131      16     40        0.00    13.416
2024    131      16     45        0.00    13.416
2024    131      16     50        0.00    13.416
2024    131      16     55        0.00    13.416
2024    131      17      0        0.00    13.416
2024    131      17      5        0.00    13.416
2024    131      17     10        4.18     8.253
2024    131      17     15        3.05     8.599
2024    131      17     20        3.82     8.253
2024    131      17     25        2.14     8.786
2024    131      17     30        1.48     9.139
2024    131      17     35        1.34     9.061
2024    131      17     40        2.91     8.566
2024    131      17     45        0.99     8.440
2024    131      17     50        4.13     7.761
2024    131      17     55        4.70     7.277
2024    131      18      0        7.83     6.840
2024    131      18      5        7.44     6.346
2024    131      18     10       18.09     5.667
2024    131      18     15       30.64     5.756
2024    131      18     20       42.31     5.667
2024    131      18     25      108.93     5.529
2024    131      18     30      226.22     5.141
2024    131      18     35      101.02     4.846
2024    131      18     40       59.18     4.836
2024    131      18     45       95.40     4.888
2024    131      18     50       48.63     4.851
2024    131      18     55       28.02     4.785
2024    131      19      0       32.96     4.846
2024    131      19      5       37.99     4.923
2024    131      19     10       55.59     4.870
2024    131      19     15       57.33     4.769
2024    131      19     20       93.63     4.744
2024    131      19     25       80.37     4.673
2024    131      19     30       65.66     4.747
2024    131      19     35       99.35     4.710
2024    131      19     40       99.21     4.739
2024    131      19     45       23.91     4.696
2024    131      19     50      119.26     4.673
2024    131      19     55       44.31     4.607
2024    131      20      0       67.01     4.494
2024    131      20      5      118.80     4.453
2024    131      20     10       39.92     4.415
2024    131      20     15       54.74     4.353
2024    131      20     20       90.27     4.301
2024    131      20     25       41.47     4.339
2024    131      20     30       90.43     4.351
2024    131      20     35       70.73     4.351
2024    131      20     40       64.93     4.351
2024    131      20     45       58.56     4.351
2024    131      20     50        9.74     4.364
2024    131      20     55       89.16     4.327
2024    131      21      0      114.03     4.263
2024    131      21      5       72.64     4.263
2024    131      21     10       73.45     4.187
2024    131      21     15       72.06     4.162
2024    131      21     20       80.69     4.136
2024    131      21     25       77.88     4.139
2024    131      21     30       99.49     4.101
2024    131      21     35       42.53     4.101
2024    131      21     40       56.57     4.050
2024    131      21     45       48.15     4.023
2024    131      21     50       88.19     4.010
2024    131      21     55      167.28     4.010
2024    131      22      0       36.27     4.073
2024    131      22      5      104.34     4.038
2024    131      22     10      103.86     4.066
2024    131      22     15       44.31     3.988
2024    131      22     20       68.72     3.979
2024    131      22     25       84.02     3.958
2024    131      22     30       71.68     3.940
2024    131      22     35       73.05     3.951
2024    131      22     40       31.73     3.951
2024    131      22     45      148.50     3.940
2024    131      22     50       59.81     3.962
2024    131      22     55       66.99     3.968
2024    131      23      0       75.49     3.958
2024    131      23      5        7.79     3.949
2024    131      23     10       38.42     3.912
2024    131      23     15       12.78     3.897
2024    131      23     20       34.93     3.885
2024    131      23     25        3.57     3.885
2024    131      23     30       37.09     3.835
