|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2024    131      11     35     -0.4627
2024    131      11     40    255.6822
2024    131      11     45    255.2881
2024    131      11     50    256.0817
2024    131      11     55    256.7478
2024    131      12      0    256.4842
2024    131      12      5    256.2342
2024    131      12     10    258.5002
2024    131      12     15    255.8203
2024    131      12     20    257.0627
2024    131      12     25    257.1006
2024    131      12     30    257.9400
2024    131      12     35    258.1891
2024    131      12     40    257.5401
2024    131      12     45    257.5946
2024    131      12     50    257.8697
2024    131      12     55    258.0139
2024    131      13      0    258.1367
2024    131      13      5    258.2829
2024    131      13     10    258.3764
2024    131      13     15    258.4536
2024    131      13     20    260.7629
2024    131      13     25    259.6689
2024    131      13     30    258.7825
2024    131      13     35    259.3156
2024    131      13     40    259.8895
2024    131      13     45    259.8805
2024    131      13     50    261.7620
2024    131      13     55    260.5902
2024    131      14      0    264.8931
2024    131      14      5    260.1029
2024    131      14     10    262.0360
2024    131      14     15    260.5539
2024    131      14     20    262.3161
2024    131      14     25    261.8960
2024    131      14     30    261.4835
2024    131      14     35    262.2917
2024    131      14     40    259.0438
2024    131      14     45    257.1077
2024    131      14     50    259.3781
2024    131      14     55    261.5824
2024    131      15      0    262.5931
2024    131      15      5    261.9558
2024    131      15     10    264.4844
2024    131      15     15    267.6033
2024    131      15     20    269.2099
2024    131      15     25    269.3291
2024    131      15     30    271.6237
2024    131      15     35    272.6343
2024    131      15     40    273.3634
2024    131      15     45    273.4731
2024    131      15     50    273.1584
2024    131      15     55    272.5509
2024    131      16      0    273.1513
2024    131      16      5    272.4693
2024    131      16     10    272.4675
2024    131      16     15    272.0276
2024    131      16     20    273.2752
2024    131      16     25    272.5369
2024    131      16     30    272.6910
2024    131      16     35    272.0283
2024    131      16     40    273.3540
2024    131      16     45    272.1822
2024    131      16     50    273.1373
2024    131      16     55    272.8178
2024    131      17      0    272.8408
2024    131      17      5    269.4445
2024    131      17     10    299.9887
2024    131      17     15    292.5272
2024    131      17     20    296.6808
2024    131      17     25    286.3137
2024    131      17     30    282.1896
2024    131      17     35    284.7053
2024    131      17     40    295.6116
2024    131      17     45    305.0237
2024    131      17     50    316.3172
2024    131      17     55    323.5851
2024    131      18      0    327.5429
2024    131      18      5    328.8186
2024    131      18     10    341.8781
2024    131      18     15    329.4612
2024    131      18     20    329.9859
2024    131      18     25    330.9036
2024    131      18     30    344.4619
2024    131      18     35    373.5366
2024    131      18     40    369.9635
2024    131      18     45    367.5151
2024    131      18     50    367.7669
2024    131      18     55    370.1117
2024    131      19      0    359.0647
2024    131      19      5    353.7848
2024    131      19     10    357.0178
2024    131      19     15    361.7439
2024    131      19     20    361.0423
2024    131      19     25    368.3739
2024    131      19     30    360.4347
2024    131      19     35    361.5685
2024    131      19     40    358.9216
2024    131      19     45    371.7225
2024    131      19     50    367.1529
2024    131      19     55    374.8080
2024    131      20      0    380.0432
2024    131      20      5    381.9019
2024    131      20     10    389.5312
2024    131      20     15    390.1673
2024    131      20     20    396.5974
2024    131      20     25    393.6461
2024    131      20     30    390.0630
2024    131      20     35    387.3092
2024    131      20     40    384.8270
2024    131      20     45    383.1553
2024    131      20     50    381.2819
2024    131      20     55    383.8851
2024    131      21      0    391.2220
2024    131      21      5    383.7509
2024    131      21     10    385.2874
2024    131      21     15    383.6755
2024    131      21     20    386.9867
2024    131      21     25    389.6233
2024    131      21     30    390.1690
2024    131      21     35    394.4849
2024    131      21     40    396.8122
2024    131      21     45    399.8349
2024    131      21     50    388.7435
2024    131      21     55    379.1684
2024    131      22      0    375.8560
2024    131      22      5    375.9052
