X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2024    131      11     35        0.00    13.416
2024    131      11     40        0.00    13.416
2024    131      11     45        0.00    13.416
2024    131      11     50        0.00    13.416
2024    131      11     55        0.00    13.416
2024    131      12      0        0.00    13.416
2024    131      12      5        0.00    13.416
2024    131      12     10        0.00    13.416
2024    131      12     15        0.00    13.416
2024    131      12     20        0.00    13.416
2024    131      12     25        0.00    13.416
2024    131      12     30        0.00    13.416
2024    131      12     35        0.00    13.416
2024    131      12     40        0.00    13.416
2024    131      12     45        0.00    13.416
2024    131      12     50        0.00    13.416
2024    131      12     55        0.00    13.416
2024    131      13      0        0.00    13.416
2024    131      13      5        0.00    13.416
2024    131      13     10        0.00    13.416
2024    131      13     15        0.00    13.416
2024    131      13     20        0.00    13.416
2024    131      13     25        0.00    13.416
2024    131      13     30        0.00    13.416
2024    131      13     35        0.00    13.416
2024    131      13     40        0.00    13.416
2024    131      13     45        0.00    13.416
2024    131      13     50        0.00    13.416
2024    131      13     55        0.00    13.416
2024    131      14      0        0.00    13.416
2024    131      14      5        0.00    13.416
2024    131      14     10        0.00    13.416
2024    131      14     15        0.00    13.416
2024    131      14     20        0.00    13.416
2024    131      14     25        0.00    13.416
2024    131      14     30        0.00    13.416
2024    131      14     35        0.00    13.416
2024    131      14     40        0.00    13.416
2024    131      14     45        0.00    13.416
2024    131      14     50        0.00    13.416
2024    131      14     55        0.00    13.416
2024    131      15      0        0.00    13.416
2024    131      15      5        0.00    13.416
2024    131      15     10        0.00    13.416
2024    131      15     15        0.00    13.416
2024    131      15     20        0.00    13.416
2024    131      15     25        0.00    13.416
2024    131      15     30        0.00    13.416
2024    131      15     35        0.00    13.416
2024    131      15     40        0.00    13.416
2024    131      15     45        0.00    13.416
2024    131      15     50        0.00    13.416
2024    131      15     55        0.00    13.416
2024    131      16      0        0.00    13.416
2024    131      16      5        0.00    13.416
2024    131      16     10        0.00    13.416
2024    131      16     15        0.00    13.416
2024    131      16     20        0.00    13.416
2024    131      16     25        0.00    13.416
2024    131      16     30        0.00    13.416
2024    131      16     35        0.00    13.416
2024    131      16     40        0.00    13.416
2024    131      16     45        0.00    13.416
2024    131      16     50        0.00    13.416
2024    131      16     55        0.00    13.416
2024    131      17      0        0.00    13.416
2024    131      17      5        0.00    13.416
2024    131      17     10        1.19     8.253
2024    131      17     15        1.03     8.599
2024    131      17     20        1.19     8.253
2024    131      17     25        0.91     8.786
2024    131      17     30        0.78     9.139
2024    131      17     35        0.82     9.061
2024    131      17     40        1.12     8.566
2024    131      17     45        1.52     8.440
2024    131      17     50        2.20     7.761
2024    131      17     55        4.59     7.277
2024    131      18      0       12.24     6.840
2024    131      18      5       32.32     6.346
2024    131      18     10       43.96     5.667
2024    131      18     15       71.73     5.756
2024    131      18     20      296.95     5.667
2024    131      18     25     1187.02     5.529
2024    131      18     30      613.60     5.141
2024    131      18     35      247.14     4.846
2024    131      18     40      128.83     4.836
2024    131      18     45       71.84     4.888
2024    131      18     50       51.91     4.851
2024    131      18     55       25.69     4.785
2024    131      19      0       30.04     4.846
2024    131      19      5       54.13     4.923
2024    131      19     10       29.82     4.870
2024    131      19     15       63.20     4.769
2024    131      19     20      146.63     4.744
2024    131      19     25      154.66     4.673
2024    131      19     30      228.96     4.747
2024    131      19     35      205.95     4.710
2024    131      19     40      191.90     4.739
2024    131      19     45       82.27     4.696
2024    131      19     50      163.14     4.673
2024    131      19     55       67.79     4.607
2024    131      20      0       88.94     4.494
2024    131      20      5      190.42     4.453
2024    131      20     10       53.57     4.415
2024    131      20     15       97.43     4.353
2024    131      20     20       85.03     4.301
2024    131      20     25       16.26     4.339
2024    131      20     30       37.77     4.351
2024    131      20     35       73.15     4.351
2024    131      20     40       65.76     4.351
2024    131      20     45       48.34     4.351
2024    131      20     50       32.58     4.364
2024    131      20     55       37.83     4.327
2024    131      21      0       92.35     4.263
2024    131      21      5       87.66     4.263
2024    131      21     10       67.54     4.187
2024    131      21     15       74.37     4.162
2024    131      21     20       74.18     4.136
2024    131      21     25      134.97     4.139
2024    131      21     30      101.28     4.101
2024    131      21     35       76.56     4.101
2024    131      21     40      152.88     4.050
2024    131      21     45      197.87     4.023
2024    131      21     50      249.82     4.010
2024    131      21     55      314.64     4.010
2024    131      22      0      195.72     4.073
2024    131      22      5      513.56     4.038
2024    131      22     10      207.23     4.066
2024    131      22     15      658.18     3.988
2024    131      22     20      242.30     3.979
2024    131      22     25      103.94     3.958
2024    131      22     30      171.72     3.940
2024    131      22     35      255.79     3.951
2024    131      22     40      207.45     3.951
2024    131      22     45     1119.30     3.940
2024    131      22     50      163.99     3.962
2024    131      22     55      156.61     3.968
2024    131      23      0       55.67     3.958
2024    131      23      5       17.63     3.949
2024    131      23     10       20.64     3.912
2024    131      23     15       13.19     3.897
2024    131      23     20       16.22     3.885
2024    131      23     25       11.00     3.885
2024    131      23     30       23.61     3.835
