X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    TOTAL_RATE   LORRENZ_RATE    WINDING_RATE    ALIGNED_RATE    DISTANCE
2024    131      11     35        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     40        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     45        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     50        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     55        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12      0        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12      5        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     10        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     15        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     20        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     25        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     30        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     35        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     40        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     45        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     50        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     55        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13      0        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13      5        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     10        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     15        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     20        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     25        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     30        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     35        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     40        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     45        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     50        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      13     55        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14      0        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14      5        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     10        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     15        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     20        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     25        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     30        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     35        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     40        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     45        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     50        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     55        0.0000        0.0000        0.0000        0.0000    13.416
