X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2024    131      11     35        0.00    13.416
2024    131      11     40        0.00    13.416
2024    131      11     45        0.00    13.416
2024    131      11     50        0.00    13.416
2024    131      11     55        0.00    13.416
2024    131      12      0        0.00    13.416
2024    131      12      5        0.00    13.416
2024    131      12     10        0.00    13.416
2024    131      12     15        0.00    13.416
2024    131      12     20        0.00    13.416
2024    131      12     25        0.00    13.416
2024    131      12     30        0.00    13.416
2024    131      12     35        0.00    13.416
2024    131      12     40        0.00    13.416
2024    131      12     45        0.00    13.416
2024    131      12     50        0.00    13.416
2024    131      12     55        0.00    13.416
2024    131      13      0        0.00    13.416
2024    131      13      5        0.00    13.416
2024    131      13     10        0.00    13.416
2024    131      13     15        0.00    13.416
2024    131      13     20        0.00    13.416
2024    131      13     25        0.00    13.416
2024    131      13     30        0.00    13.416
2024    131      13     35        0.00    13.416
2024    131      13     40        0.00    13.416
2024    131      13     45        0.00    13.416
2024    131      13     50        0.00    13.416
2024    131      13     55        0.00    13.416
2024    131      14      0        0.00    13.416
2024    131      14      5        0.00    13.416
2024    131      14     10        0.00    13.416
2024    131      14     15        0.00    13.416
2024    131      14     20        0.00    13.416
2024    131      14     25        0.00    13.416
2024    131      14     30        0.00    13.416
2024    131      14     35        0.00    13.416
2024    131      14     40        0.00    13.416
2024    131      14     45        0.00    13.416
2024    131      14     50        0.00    13.416
2024    131      14     55        0.00    13.416
2024    131      15      0        0.00    13.416
2024    131      15      5        0.00    13.416
2024    131      15     10        0.00    13.416
2024    131      15     15        0.00    13.416
2024    131      15     20        0.00    13.416
2024    131      15     25        0.00    13.416
2024    131      15     30        0.00    13.416
2024    131      15     35        0.00    13.416
2024    131      15     40        0.00    13.416
2024    131      15     45        0.00    13.416
2024    131      15     50        0.00    13.416
2024    131      15     55        0.00    13.416
2024    131      16      0        0.00    13.416
2024    131      16      5        0.00    13.416
2024    131      16     10        0.00    13.416
2024    131      16     15        0.00    13.416
2024    131      16     20        0.00    13.416
2024    131      16     25        0.00    13.416
2024    131      16     30        0.00    13.416
2024    131      16     35        0.00    13.416
2024    131      16     40        0.00    13.416
2024    131      16     45        0.00    13.416
2024    131      16     50        0.00    13.416
2024    131      16     55        0.00    13.416
2024    131      17      0        0.00    13.416
2024    131      17      5        0.00    13.416
2024    131      17     10       24.03     8.253
2024    131      17     15       21.78     8.599
2024    131      17     20       22.47     8.253
2024    131      17     25       19.65     8.786
2024    131      17     30       13.83     9.139
2024    131      17     35       14.37     9.061
2024    131      17     40       15.52     8.566
2024    131      17     45       24.04     8.440
2024    131      17     50       14.20     7.761
2024    131      17     55       10.31     7.277
2024    131      18      0       33.35     6.840
2024    131      18      5       55.15     6.346
2024    131      18     10      152.21     5.667
2024    131      18     15       68.95     5.756
2024    131      18     20      125.56     5.667
2024    131      18     25      208.68     5.529
2024    131      18     30      406.10     5.141
2024    131      18     35      943.51     4.846
2024    131      18     40      538.20     4.836
2024    131      18     45      361.84     4.888
2024    131      18     50      270.34     4.851
2024    131      18     55      205.96     4.785
2024    131      19      0      176.85     4.846
2024    131      19      5      150.87     4.923
2024    131      19     10       98.55     4.870
2024    131      19     15      232.04     4.769
2024    131      19     20      194.89     4.744
2024    131      19     25      413.57     4.673
2024    131      19     30      416.79     4.747
2024    131      19     35      451.99     4.710
2024    131      19     40      399.03     4.739
2024    131      19     45      611.71     4.696
2024    131      19     50      371.57     4.673
2024    131      19     55      509.44     4.607
2024    131      20      0      528.23     4.494
2024    131      20      5      504.10     4.453
2024    131      20     10      623.21     4.415
2024    131      20     15      597.71     4.353
2024    131      20     20      252.35     4.301
2024    131      20     25      477.64     4.339
2024    131      20     30      137.73     4.351
2024    131      20     35      264.88     4.351
2024    131      20     40      361.24     4.351
2024    131      20     45      411.37     4.351
2024    131      20     50      191.36     4.364
2024    131      20     55      145.04     4.327
2024    131      21      0      302.09     4.263
2024    131      21      5      150.64     4.263
2024    131      21     10      551.85     4.187
2024    131      21     15      566.83     4.162
2024    131      21     20      594.53     4.136
2024    131      21     25      354.26     4.139
2024    131      21     30      606.39     4.101
2024    131      21     35      402.97     4.101
2024    131      21     40      564.26     4.050
2024    131      21     45      619.20     4.023
2024    131      21     50      749.03     4.010
2024    131      21     55     1336.12     4.010
2024    131      22      0     1025.94     4.073
2024    131      22      5     2306.95     4.038
2024    131      22     10     2120.99     4.066
2024    131      22     15      810.89     3.988
2024    131      22     20      544.68     3.979
2024    131      22     25      467.26     3.958
2024    131      22     30      442.32     3.940
2024    131      22     35      563.53     3.951
2024    131      22     40      878.74     3.951
2024    131      22     45     2416.54     3.940
2024    131      22     50      497.96     3.962
2024    131      22     55      400.96     3.968
2024    131      23      0      235.97     3.958
2024    131      23      5       39.96     3.949
2024    131      23     10      104.37     3.912
2024    131      23     15      177.00     3.897
2024    131      23     20       51.07     3.885
2024    131      23     25      127.64     3.885
2024    131      23     30      182.47     3.835
