X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2024    131      11      5        0.00    13.416
2024    131      11     10        0.00    13.416
2024    131      11     15        0.00    13.416
2024    131      11     20        0.00    13.416
2024    131      11     25        0.00    13.416
2024    131      11     30        0.00    13.416
2024    131      11     35        0.00    13.416
2024    131      11     40        0.00    13.416
2024    131      11     45        0.00    13.416
2024    131      11     50        0.00    13.416
2024    131      11     55        0.00    13.416
2024    131      12      0        0.00    13.416
2024    131      12      5        0.33    12.032
2024    131      12     10        0.00    13.416
2024    131      12     15        5.70    11.661
2024    131      12     20       27.41    11.545
2024    131      12     25       13.94    11.409
2024    131      12     30        0.76    11.894
2024    131      12     35        2.87    11.545
2024    131      12     40      104.71    10.819
2024    131      12     45       18.12    10.830
2024    131      12     50       79.51    10.676
2024    131      12     55      109.06    10.522
2024    131      13      0      192.61    10.648
2024    131      13      5       33.81    10.494
2024    131      13     10      201.53    10.582
2024    131      13     15       79.11    10.467
2024    131      13     20       32.47    10.989
2024    131      13     25       12.12    11.055
2024    131      13     30       12.20    11.044
2024    131      13     35       18.05    10.786
2024    131      13     40      318.92    10.962
2024    131      13     45       20.10    11.000
2024    131      13     50        4.18    11.418
2024    131      13     55       17.23    10.946
2024    131      14      0        4.06    11.643
2024    131      14      5        4.91    11.391
2024    131      14     10        2.28    11.632
2024    131      14     15        0.85    11.648
2024    131      14     20        1.34    12.016
2024    131      14     25        1.02    11.978
2024    131      14     30        0.59    11.901
2024    131      14     35        0.00    13.416
2024    131      14     40        0.45    12.044
2024    131      14     45        0.00    13.416
2024    131      14     50        0.00    13.416
2024    131      14     55        0.00    13.416
2024    131      15      0        0.00    13.416
2024    131      15      5        0.00    13.416
2024    131      15     10        0.00    13.416
2024    131      15     15        0.00    13.416
2024    131      15     20        0.00    13.416
2024    131      15     25        0.00    13.416
2024    131      15     30        0.00    13.416
2024    131      15     35        0.00    13.416
2024    131      15     40      107.77    12.215
2024    131      15     45      106.75    12.050
2024    131      15     50       81.81    12.167
2024    131      15     55        0.00    12.283
2024    131      16      0       69.23    12.128
2024    131      16      5       95.86    12.089
2024    131      16     10      230.66    12.089
2024    131      16     15      123.74    12.050
2024    131      16     20       87.65    11.622
2024    131      16     25       57.35    11.506
2024    131      16     30       20.56    11.428
2024    131      16     35      126.93    11.506
2024    131      16     40      165.71    11.380
2024    131      16     45      104.00    12.059
2024    131      16     50       84.58    11.924
2024    131      16     55        7.08    11.419
2024    131      17      0       48.64    11.894
2024    131      17      5      100.66    11.748
2024    131      17     10       62.42     9.148
2024    131      17     15       65.04    10.344
2024    131      17     20      116.02    10.374
2024    131      17     25      118.33    10.586
2024    131      17     30       47.69    11.168
2024    131      17     35       51.03    10.605
2024    131      17     40        1.04     6.502
2024    131      17     45        0.91     6.198
2024    131      17     50        0.90     6.148
2024    131      17     55        0.50     6.414
2024    131      18      0       76.22     8.062
2024    131      18      5        3.36     6.009
2024    131      18     10       61.37     5.895
2024    131      18     15       20.92     5.769
2024    131      18     20       28.32     5.731
2024    131      18     25       36.56     5.618
2024    131      18     30       43.43     5.731
2024    131      18     35       65.79     5.275
2024    131      18     40      715.33     5.288
2024    131      18     45       97.58     5.288
2024    131      18     50        4.83     5.161
2024    131      18     55      314.44     5.174
2024    131      19      0      127.59     5.288
2024    131      19      5       91.65     5.313
2024    131      19     10       62.38     5.275
2024    131      19     15      120.65     5.313
2024    131      19     20       84.52     5.275
2024    131      19     25       82.15     5.313
2024    131      19     30       65.70     5.401
2024    131      19     35       96.52     5.275
2024    131      19     40       41.75     5.566
2024    131      19     45      129.17     5.212
2024    131      19     50       58.48     5.186
2024    131      19     55       33.41     5.009
2024    131      20      0      383.57     4.971
2024    131      20      5      152.89     4.832
2024    131      20     10      106.59     4.794
2024    131      20     15       51.87     4.744
2024    131      20     20       58.64     4.744
2024    131      20     25      121.88     4.706
2024    131      20     30      153.58     4.706
2024    131      20     35      157.39     4.706
2024    131      20     40      786.44     4.706
2024    131      20     45       39.81     4.668
2024    131      20     50       75.93     4.668
2024    131      20     55       43.24     4.630
2024    131      21      0       22.45     4.579
2024    131      21      5      359.52     4.579
2024    131      21     10       51.33     4.541
2024    131      21     15      195.71     4.541
2024    131      21     20       43.57     4.541
2024    131      21     25       96.59     4.503
2024    131      21     30       70.33     4.503
2024    131      21     35       25.46     4.465
2024    131      21     40       89.96     4.453
2024    131      21     45       14.97     4.403
2024    131      21     50       96.86     4.453
2024    131      21     55       40.00     4.465
2024    131      22      0       56.29     4.491
2024    131      22      5       20.85     4.479
2024    131      22     10       43.71     4.506
2024    131      22     15       25.97     4.407
2024    131      22     20       58.17     4.396
2024    131      22     25       33.10     4.407
2024    131      22     30       43.38     4.407
2024    131      22     35       94.21     4.494
2024    131      22     40       54.40     4.571
2024    131      22     45       55.15     4.522
2024    131      22     50       67.88     4.561
2024    131      22     55       60.13     4.561
2024    131      23      0       30.45     4.589
2024    131      23      5       83.95     4.570
2024    131      23     10       71.10     4.628
2024    131      23     15       64.09     4.667
2024    131      23     20       42.36     4.618
2024    131      23     25        8.02     4.657
2024    131      23     30       54.61     4.657
2024    131      23     35       54.77     4.647
2024    131      23     40       20.84     4.686
2024    131      23     45       23.00     4.725
2024    131      23     50       49.66     4.725
2024    131      23     55       19.21     4.725
2024    132       0      0       11.05     4.725
2024    132       0      5       10.37     4.764
2024    132       0     10       15.90     4.813
2024    132       0     15        3.33     4.803
2024    132       0     20       32.15     4.744
2024    132       0     25       64.11     4.638
2024    132       0     30       32.38     4.582
2024    132       0     35       95.16     4.543
2024    132       0     40       76.50     4.504
2024    132       0     45       17.87     4.456
2024    132       0     50      103.33     4.456
2024    132       0     55       86.44     4.417
2024    132       1      0       77.46     4.448
2024    132       1      5       61.53     4.440
2024    132       1     10       59.51     4.409
2024    132       1     15       67.03     4.362
2024    132       1     20       74.81     4.362
2024    132       1     25     1187.03     4.378
2024    132       1     30      166.25     4.354
2024    132       1     35       46.90     4.354
2024    132       1     40       90.64     4.386
2024    132       1     45      367.45     4.380
2024    132       1     50       86.91     4.419
2024    132       1     55       81.63     4.373
2024    132       2      0      120.49     4.380
2024    132       2      5       67.94     4.334
2024    132       2     10       29.48     4.334
2024    132       2     15       94.82     4.373
2024    132       2     20       67.16     4.373
2024    132       2     25      122.92     4.380
