X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    TOTAL_RATE   LORRENZ_RATE    WINDING_RATE    ALIGNED_RATE    DISTANCE
2024    131      11      5        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     10        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     15        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     20        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     25        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     30        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     35        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     40        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     45        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     50        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      11     55        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12      0        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12      5        2.6003        0.8526        2.7868        0.3288    12.032
2024    131      12     10        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      12     15       89.0663       10.3020       88.5492        5.7043    11.661
2024    131      12     20       41.7830       34.0799       51.1572       27.4087    11.545
2024    131      12     25       56.4830        2.6329       62.6460       13.9364    11.409
2024    131      12     30        0.9039        0.8435        1.0377        0.7617    11.894
2024    131      12     35        7.0987        6.9600        7.1338        2.8746    11.545
2024    131      12     40      225.7875      148.4481      292.1813      104.7065    10.819
2024    131      12     45       85.4341        0.0410      101.3239       18.1192    10.830
2024    131      12     50      762.0292       70.1652      837.7375       79.5133    10.676
2024    131      12     55      417.9520      193.5797      486.9366      109.0553    10.522
2024    131      13      0     4288.6158      700.3225     4050.7483      192.6078    10.648
2024    131      13      5     1145.4133      650.0079      922.6416       33.8105    10.494
2024    131      13     10    44305.9454     1023.6918    44485.7716      201.5346    10.582
2024    131      13     15     2130.3750      846.3526     1963.6053       79.1058    10.467
2024    131      13     20      744.4793      269.0742      726.1336       32.4670    10.989
2024    131      13     25      272.0455      162.6041      230.8275       12.1171    11.055
2024    131      13     30      131.0867      115.1255       29.8483       12.2013    11.044
2024    131      13     35      392.7170      242.9135      329.9063       18.0505    10.786
2024    131      13     40     9123.2927     1588.0147     9130.4084      318.9204    10.962
2024    131      13     45       93.0643       71.6330       87.4817       20.1040    11.000
2024    131      13     50       52.5812        2.1853       53.5901        4.1834    11.418
2024    131      13     55      122.7988      109.8700       56.7912       17.2308    10.946
2024    131      14      0        7.3826       11.4369        0.1930        4.0595    11.643
2024    131      14      5       17.2304       12.2164        3.1982        4.9069    11.391
2024    131      14     10        0.8276        1.6792        0.4257        2.2811    11.632
2024    131      14     15        1.1845        0.2216        0.8190        0.8494    11.648
2024    131      14     20        0.7162        1.1254        1.0918        1.3394    12.016
2024    131      14     25        0.7149        0.3292        0.3095        1.0234    11.978
2024    131      14     30        1.6578        1.1036        1.4976        0.5935    11.901
2024    131      14     35        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     40        0.9940        0.1042        1.1744        0.4504    12.044
2024    131      14     45        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     50        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      14     55        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      15      0        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      15      5        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      15     10        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      15     15        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      15     20        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      15     25        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      15     30        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      15     35        0.0000        0.0000        0.0000        0.0000    13.416
2024    131      15     40      726.3105      208.7025      805.1794      107.7716    12.215
2024    131      15     45      837.8483       92.4086      900.1921      106.7512    12.050
2024    131      15     50      345.9265        6.8340      266.8612       81.8066    12.167
2024    131      15     55        0.0000        0.0000        0.0000        0.0000    12.283
2024    131      16      0     2551.2649      339.2164     2543.9595       69.2259    12.128
2024    131      16      5     1596.3220      267.0267     1585.7078       95.8626    12.089
2024    131      16     10     1223.6126      185.7231     1095.1222      230.6569    12.089
2024    131      16     15      525.5307       15.9037      645.7082      123.7380    12.050
2024    131      16     20      582.3889       99.1108      574.9800       87.6524    11.622
2024    131      16     25      217.1173       39.3215      239.4393       57.3538    11.506
2024    131      16     30       77.5563        6.2772       80.3070       20.5567    11.428
2024    131      16     35      162.7691       29.7708      287.1467      126.9253    11.506
2024    131      16     40      265.3715        1.9881      430.5839      165.7104    11.380
2024    131      16     45      253.8301       57.8061      342.9904      103.9970    12.059
2024    131      16     50      362.8213       92.0206      391.0784       84.5829    11.924
2024    131      16     55       12.7059        0.2208       16.6349        7.0790    11.419
2024    131      17      0      104.3448       26.9374      112.9146       48.6398    11.894
2024    131      17      5       60.9981       29.1057      153.3847      100.6597    11.748
2024    131      17     10      133.6209       30.4298      141.1969       62.4231     9.148
2024    131      17     15      360.1534       51.6569      332.8861       65.0361    10.344
2024    131      17     20      445.4584       15.4605      561.2314      116.0233    10.374
2024    131      17     25      155.4081       29.9360      269.0492      118.3320    10.586
2024    131      17     30        6.3283        0.7336       49.6638       47.6898    11.168
2024    131      17     35       43.8835       16.8049       75.9776       51.0327    10.605
2024    131      17     40        0.8439        0.1114        0.4197        1.0369     6.502
2024    131      17     45        0.8378        0.0492        0.4505        0.9081     6.198
2024    131      17     50        0.1618        0.5879        0.5251        0.9036     6.148
2024    131      17     55        0.1946        0.2583        0.3229        0.4956     6.414
2024    131      18      0      181.1443       55.5543      235.0290       76.2159     8.062
2024    131      18      5        1.3337        1.9290        0.6847        3.3643     6.009
2024    131      18     10      259.9413      161.9952      232.0855       61.3656     5.895
2024    131      18     15       15.3483       19.8741       11.5565       20.9180     5.769
2024    131      18     20       27.1196       21.3935       24.4665       28.3191     5.731
2024    131      18     25       23.0705       27.6523       21.3601       36.5583     5.618
2024    131      18     30       70.9345       42.1824       68.6305       43.4328     5.731
2024    131      18     35      320.5110      309.5264      200.0096       65.7902     5.275
2024    131      18     40     1552.0735      831.1180      104.1003      715.3314     5.288
2024    131      18     45     3074.0177      169.4715     3079.3503       97.5820     5.288
2024    131      18     50      589.0925      356.5616      474.0918        4.8299     5.161
2024    131      18     55    11236.7162     2324.5420    10862.0508      314.4384     5.174
2024    131      19      0      438.0303       40.7994      517.4131      127.5850     5.288
2024    131      19      5      278.8540       43.5212      182.1776       91.6501     5.313
2024    131      19     10      161.7708        8.7108      102.1777       62.3766     5.275
2024    131      19     15      117.4229       64.1734      214.5269      120.6534     5.313
2024    131      19     20       67.2021       94.5959       92.3087       84.5213     5.275
2024    131      19     25      357.7957      155.1412      325.1567       82.1501     5.313
2024    131      19     30      452.3758       43.6773      444.9593       65.6977     5.401
2024    131      19     35      301.3030      209.6092      323.3721       96.5200     5.275
2024    131      19     40      188.6849       14.1157      222.5301       41.7516     5.566
2024    131      19     45      993.1061      269.9256     1088.7833      129.1660     5.212
2024    131      19     50     2094.9729      348.5260     2014.9241       58.4819     5.186
2024    131      19     55      589.8536      577.9658      221.0337       33.4077     5.009
2024    131      20      0     2365.0821      708.9339     2268.1064      383.5687     4.971
2024    131      20      5     4559.0163      303.1495     4537.8378      152.8893     4.832
2024    131      20     10      827.5610      209.9492      902.7277      106.5890     4.794
2024    131      20     15     1001.8194      481.7278      834.5884       51.8713     4.744
2024    131      20     20     1143.1624      254.7375     1101.6732       58.6413     4.744
2024    131      20     25     1127.8015      904.4595      519.4639      121.8822     4.706
2024    131      20     30      770.8014      586.6608      305.0595      153.5813     4.706
2024    131      20     35     2010.1225     1206.1300     1409.7091      157.3931     4.706
2024    131      20     40     3835.7543     1137.5197     3313.4274      786.4407     4.706
2024    131      20     45     2570.0607      840.5681     2409.6796       39.8058     4.668
2024    131      20     50     1574.0385     1497.6890       36.4702       75.9268     4.668
2024    131      20     55     1115.2665      370.5737     1023.0140       43.2411     4.630
2024    131      21      0      341.2787       47.8475      352.3182       22.4540     4.579
2024    131      21      5     2653.7287      934.6209     2627.8445      359.5209     4.579
2024    131      21     10      639.6981      676.5772      130.8750       51.3342     4.541
2024    131      21     15      713.3464      610.5994      534.0863      195.7097     4.541
2024    131      21     20      762.0774      570.8718      436.4976       43.5706     4.541
2024    131      21     25      544.0401      440.2330      406.4558       96.5893     4.503
2024    131      21     30      545.3372      117.5896      602.9741       70.3284     4.503
2024    131      21     35      528.8411      260.2652      446.9917       25.4581     4.465
2024    131      21     40      203.7911      167.7096      222.6847       89.9588     4.453
2024    131      21     45      477.8313      483.2720        9.7260       14.9720     4.403
2024    131      21     50      333.0829      420.6070       36.0338       96.8616     4.453
2024    131      21     55      207.3755       50.8016      242.0051       40.0007     4.465
2024    131      22      0       30.4903       21.6469       19.5501       56.2911     4.491
2024    131      22      5       23.7354       11.8243        4.0255       20.8463     4.479
2024    131      22     10       21.8057        6.8580       20.8496       43.7111     4.506
2024    131      22     15       18.2874       13.9106       41.7319       25.9730     4.407
2024    131      22     20       21.4943       28.4368       25.8787       58.1685     4.396
2024    131      22     25        9.9169        9.4699       41.9028       33.1018     4.407
2024    131      22     30       10.4877       30.4301       15.6915       43.3845     4.407
2024    131      22     35      111.8332       19.8181       29.5773       94.2132     4.494
2024    131      22     40       19.0360       14.5025       43.2490       54.3958     4.571
2024    131      22     45       45.0395       13.4209       25.4819       55.1550     4.522
2024    131      22     50       28.9203       35.0657       48.3865       67.8841     4.561
2024    131      22     55       19.9362        0.5425       40.1900       60.1297     4.561
2024    131      23      0       19.4385        4.8338       16.0812       30.4478     4.589
2024    131      23      5       29.1290        0.4418      111.7043       83.9548     4.570
2024    131      23     10       17.0963       30.6584       51.7726       71.0997     4.628
2024    131      23     15       26.6876       21.9666       50.3044       64.0869     4.667
2024    131      23     20       58.2759       35.9504       63.0489       42.3631     4.618
2024    131      23     25       27.8681       12.5849       20.4781        8.0180     4.657
2024    131      23     30       25.6640       12.0160       37.0066       54.6095     4.657
2024    131      23     35       38.2441       37.9562       65.3101       54.7686     4.647
2024    131      23     40       34.6513       13.4390       37.9922       20.8401     4.686
2024    131      23     45       16.7380        1.3857       10.3111       23.0045     4.725
2024    131      23     50       30.5316       14.3500       71.8149       49.6587     4.725
2024    131      23     55       17.8361        4.1424       30.9502       19.2078     4.725
2024    132       0      0       20.7762        9.1721        6.3684       11.0544     4.725
2024    132       0      5       14.5703        5.0542        1.5683       10.3651     4.764
2024    132       0     10       15.9511        0.4008        0.7994       15.9035     4.813
2024    132       0     15        6.1976        4.1314        7.3809        3.3315     4.803
2024    132       0     20       21.8486        6.5166        8.1722       32.1514     4.744
2024    132       0     25        7.4552        2.6040       62.7746       64.1126     4.638
2024    132       0     30       68.5814       25.5393       26.9720       32.3794     4.582
2024    132       0     35      152.0765       21.0594       81.6114       95.1620     4.543
2024    132       0     40      214.1554       96.5204      202.1441       76.5029     4.504
2024    132       0     45      110.8514       57.4079       79.9421       17.8710     4.456
2024    132       0     50      153.9802       45.3220       92.1983      103.3270     4.456
2024    132       0     55      101.2074       31.7655      175.0997       86.4424     4.417
2024    132       1      0      134.6194       51.9369       57.3818       77.4637     4.448
2024    132       1      5      101.2899       52.5503       58.6669       61.5267     4.440
2024    132       1     10      115.8670        9.8814       85.5371       59.5094     4.409
2024    132       1     15      219.8400       52.4450      280.9596       67.0275     4.362
2024    132       1     20      611.0902      136.6602      645.4940       74.8068     4.362
2024    132       1     25     2561.6008      831.9690     2577.2279     1187.0319     4.378
2024    132       1     30      767.1040      475.4210      658.1187      166.2524     4.354
2024    132       1     35      152.7822      163.8430       89.3651       46.8958     4.354
2024    132       1     40     1108.0969      849.9334      784.7603       90.6425     4.386
2024    132       1     45     3801.2309     1216.3796     3696.6863      367.4480     4.380
2024    132       1     50      456.3313       79.8680      517.1121       86.9054     4.419
2024    132       1     55      192.8694       47.7072      251.2891       81.6317     4.373
2024    132       2      0      133.3680       66.2531      237.8264      120.4853     4.380
2024    132       2      5      173.3280       56.6728      224.3433       67.9362     4.334
2024    132       2     10      134.6382       35.3330      146.2439       29.4810     4.334
2024    132       2     15      234.0273       64.7325      136.7717       94.8190     4.373
2024    132       2     20      224.7264       15.1703      235.6704       67.1574     4.373
2024    132       2     25      179.3350      173.0593      214.2622      122.9206     4.380
2024    132       2     30      258.2836       40.1918      322.1849       81.1485     4.334
2024    132       2     35      144.5783       79.3246      149.2747       84.7470     4.328
2024    132       2     40      122.5742       13.8669       48.4455       74.7622     4.288
2024    132       2     45      307.7894      128.0887      339.6730      112.0189     4.328
2024    132       2     50      217.7661       58.1140      115.3542       90.1998     4.288
2024    132       2     55      685.0744        2.1382      736.5995       68.5341     4.328
2024    132       3      0      110.4984       24.1617      104.5768       37.4479     4.328
2024    132       3      5      631.8746      125.7738      676.7013       59.9141     4.328
2024    132       3     10      311.4966       77.8230      384.5275       88.1386     4.334
2024    132       3     15      173.5585       62.4964      262.9163       97.5827     4.380
2024    132       3     20      547.8594       13.9677      547.4054       26.6567     4.373
2024    132       3     25      431.2432       82.8066      523.4443       99.2011     4.362
2024    132       3     30      266.0029       10.8280      396.3800      130.7171     4.367
2024    132       3     35       53.1704       36.0972       15.6254       59.6243     4.465
2024    132       3     40      172.8496       33.6521      171.0403        9.9910     4.472
2024    132       3     45      265.9129      281.8018       53.6223       47.8863     4.465
2024    132       3     50      208.1904      243.7918       90.4627       52.0993     4.505
2024    132       3     55      463.3191        9.5698      439.7337       40.1215     4.505
2024    132       4      0      190.5748      209.9473       78.3932       64.7170     4.498
2024    132       4      5       34.3350      119.9405       38.2139       95.9157     4.498
2024    132       4     10      247.8183      273.4666      114.4197       48.7184     4.531
2024    132       4     15      384.6688       94.4107      371.6331       16.9722     4.531
