goesp_part_flux_P5M: (time -> (P1, P5, P10, P30, P50, P100, E_8, E2_0, E4_0, P60, P500))
2022-10-21 04:00:00 -> (0.53935307264328, 0.3583530783653259, 0.3563530743122101, 0.3133530616760254, 0.29935306310653687, 0.29335305094718933, -100000.0, 213.24740600585938, -100000.0, 0.2953530550003052, 0.28535306453704834)
2022-10-21 04:05:00 -> (0.5073511600494385, 0.3233511447906494, 0.3143511414527893, 0.279351145029068, 0.27735114097595215, 0.2753511369228363, -100000.0, 162.768798828125, -100000.0, 0.27735114097595215, 0.26535114645957947)
2022-10-21 04:10:00 -> (0.5103521943092346, 0.32635220885276794, 0.3173522353172302, 0.31035223603248596, 0.30935221910476685, 0.29635220766067505, -100000.0, 91.15773010253906, -100000.0, 0.30535221099853516, 0.2813522219657898)
2022-10-21 04:15:00 -> (0.43435150384902954, 0.3603515028953552, 0.3583514988422394, 0.3153515160083771, 0.30035150051116943, 0.2873515188694, -100000.0, 127.19051361083984, -100000.0, 0.29635149240493774, 0.2653515040874481)
2022-10-21 04:20:00 -> (0.41368842124938965, 0.3696884214878082, 0.3606884181499481, 0.33668842911720276, 0.33568841218948364, 0.3306884169578552, -100000.0, 23.36981201171875, -100000.0, 0.33268842101097107, 0.31868842244148254)
2022-10-21 04:25:00 -> (0.3746854364871979, 0.3196854293346405, 0.30968543887138367, 0.2886854410171509, 0.28768542408943176, 0.28668543696403503, -100000.0, 118.08238983154297, -100000.0, 0.28768542408943176, 0.27068543434143066)
2022-10-21 04:30:00 -> (0.38868674635887146, 0.3476867377758026, 0.34468674659729004, 0.3376867473125458, 0.33668673038482666, 0.316686749458313, -100000.0, 103.96846771240234, -100000.0, 0.33168673515319824, 0.2946867346763611)
2022-10-21 04:35:00 -> (0.4576871991157532, 0.34868720173835754, 0.3466871976852417, 0.32268717885017395, 0.3216871917247772, 0.3196871876716614, -100000.0, 43.87659454345703, -100000.0, 0.3216871917247772, 0.2986871898174286)
2022-10-21 04:40:00 -> (0.5550212264060974, 0.4090212285518646, 0.3780212104320526, 0.33702123165130615, 0.3340212106704712, 0.3260212242603302, -100000.0, 23.58968162536621, -100000.0, 0.3340212106704712, 0.30802121758461)
2022-10-21 04:45:00 -> (0.5340211391448975, 0.3720211684703827, 0.3300211727619171, 0.32702115178108215, 0.3260211646556854, 0.32202115654945374, -100000.0, 39.0237922668457, -100000.0, 0.3260211646556854, 0.3120211660861969)
2022-10-21 04:50:00 -> (0.4643568992614746, 0.3903568983078003, 0.38835689425468445, 0.35335689783096313, 0.3503568768501282, 0.34535688161849976, -100000.0, 4.0, -100000.0, 0.3503568768501282, 0.3333568871021271)
2022-10-21 04:55:00 -> (0.3863537311553955, 0.3743537366390228, 0.3633537292480469, 0.333353728055954, 0.33235371112823486, 0.31935372948646545, -100000.0, 57.1506233215332, -100000.0, 0.3303537368774414, 0.30135372281074524)
2022-10-21 05:00:00 -> (0.46268653869628906, 0.3466865122318268, 0.3436865210533142, 0.3206865191459656, 0.31968653202056885, 0.317686527967453, -100000.0, 99.5364761352539, -100000.0, 0.31868651509284973, 0.29468652606010437)
2022-10-21 05:05:00 -> (0.3956855535507202, 0.322685569524765, 0.31968554854393005, 0.3006855547428131, 0.2996855676174164, 0.29368555545806885, -100000.0, 168.97715759277344, -100000.0, 0.2996855676174164, 0.2746855616569519)
2022-10-21 05:10:00 -> (0.4143507480621338, 0.268350750207901, 0.26535072922706604, 0.26135075092315674, 0.26135075092315674, 0.2603507339954376, -100000.0, 154.16123962402344, -100000.0, 0.26135075092315674, 0.24935074150562286)
2022-10-21 05:15:00 -> (0.555353581905365, 0.33835357427597046, 0.3363535702228546, 0.2933535575866699, 0.29035356640815735, 0.2883535623550415, -100000.0, 177.40501403808594, -100000.0, 0.29035356640815735, 0.28535357117652893)
2022-10-21 05:20:00 -> (0.593686580657959, 0.32468658685684204, 0.31668657064437866, 0.31268659234046936, 0.31168657541275024, 0.3056865632534027, -100000.0, 75.11656188964844, -100000.0, 0.3096865713596344, 0.29068657755851746)
2022-10-21 05:25:00 -> (0.4153544008731842, 0.3423543870449066, 0.33935439586639404, 0.3163543939590454, 0.31435438990592957, 0.30535438656806946, -100000.0, 90.45547485351562, -100000.0, 0.3123543858528137, 0.29735440015792847)
2022-10-21 05:30:00 -> (0.7486860752105713, 0.6386861205101013, 0.49668610095977783, 0.34768611192703247, 0.32968610525131226, 0.3066861033439636, -100000.0, 146.1229705810547, -100000.0, 0.3236860930919647, 0.29068610072135925)
