goesp_part_flux_P5M: (time -> (P1, P5, P10, P30, P50, P100, E_8, E2_0, E4_0, P60, P500))
2024-03-03 00:00:00 -> (5.53834342956543, 0.17934352159500122, 0.17534352838993073, 0.16034352779388428, 0.15934352576732635, 0.15934352576732635, -100000.0, 78.51488494873047, -100000.0, 0.15934352576732635, 0.15334352850914001)
2024-03-03 00:05:00 -> (4.755009651184082, 0.18500986695289612, 0.18100987374782562, 0.17400987446308136, 0.17300987243652344, 0.16800986230373383, -100000.0, 4.0, -100000.0, 0.1710098683834076, 0.15600986778736115)
2024-03-03 00:10:00 -> (5.50067663192749, 0.2166765183210373, 0.2126765251159668, 0.17667651176452637, 0.17467652261257172, 0.1606765240430832, -100000.0, 99.5009994506836, -100000.0, 0.17267651855945587, 0.15067651867866516)
2024-03-03 00:15:00 -> (4.282676696777344, 0.18067656457424164, 0.17667657136917114, 0.16967657208442688, 0.16967657208442688, 0.16467657685279846, -100000.0, 46.677581787109375, -100000.0, 0.1666765660047531, 0.15467657148838043)
2024-03-03 00:20:00 -> (4.922011375427246, 0.2110111564397812, 0.2070111632347107, 0.18501116335391998, 0.18401116132736206, 0.18401116132736206, -100000.0, 4.0, -100000.0, 0.18401116132736206, 0.17601116001605988)
2024-03-03 00:25:00 -> (4.841345310211182, 0.23834526538848877, 0.2263452559709549, 0.19534526765346527, 0.1923452615737915, 0.19134525954723358, -100000.0, 86.9555435180664, -100000.0, 0.1923452615737915, 0.18534526228904724)
2024-03-03 00:30:00 -> (4.670010089874268, 0.2120102196931839, 0.2080102264881134, 0.20101022720336914, 0.19801022112369537, 0.17601022124290466, -100000.0, 49.69560241699219, -100000.0, 0.19401022791862488, 0.16401022672653198)
2024-03-03 00:35:00 -> (4.0376763343811035, 0.18967650830745697, 0.18567650020122528, 0.17867650091648102, 0.1776764988899231, 0.1646765023469925, -100000.0, 56.801517486572266, -100000.0, 0.1736765056848526, 0.15867650508880615)
2024-03-03 00:40:00 -> (3.7703442573547363, 0.21034415066242218, 0.2063441425561905, 0.19134414196014404, 0.19034413993358612, 0.1893441379070282, -100000.0, 4.0, -100000.0, 0.1893441379070282, 0.17734414339065552)
2024-03-03 00:45:00 -> (4.369678020477295, 0.23767782747745514, 0.23367783427238464, 0.19867782294750214, 0.19367782771587372, 0.1926778256893158, -100000.0, 45.1077880859375, -100000.0, 0.19367782771587372, 0.17867782711982727)
2024-03-03 00:50:00 -> (4.269343376159668, 0.20934352278709412, 0.20534351468086243, 0.19034351408481598, 0.18934351205825806, 0.18834351003170013, -100000.0, 31.45026397705078, -100000.0, 0.18934351205825806, 0.1693435162305832)
2024-03-03 00:55:00 -> (3.5500106811523438, 0.20501071214675903, 0.20101071894168854, 0.19401071965694427, 0.1910107135772705, 0.18501071631908417, -100000.0, 4.0, -100000.0, 0.18901070952415466, 0.17601071298122406)
2024-03-03 01:00:00 -> (4.224009990692139, 0.2010100930929184, 0.1970100849866867, 0.19001008570194244, 0.18701007962226868, 0.18101008236408234, -100000.0, 55.911502838134766, -100000.0, 0.18501009047031403, 0.16801008582115173)
2024-03-03 01:05:00 -> (3.556342363357544, 0.17434236407279968, 0.170342355966568, 0.16334235668182373, 0.1623423546552658, 0.1573423594236374, -100000.0, 24.829259872436523, -100000.0, 0.16034236550331116, 0.1493423581123352)
2024-03-03 01:10:00 -> (3.9160094261169434, 0.20700953900814056, 0.20300954580307007, 0.1960095465183258, 0.1960095465183258, 0.19000953435897827, -100000.0, 9.060467720031738, -100000.0, 0.19400954246520996, 0.16400954127311707)
2024-03-03 01:15:00 -> (4.10400915145874, 0.22500915825366974, 0.22100915014743805, 0.18600915372371674, 0.1850091516971588, 0.17900915443897247, -100000.0, 4.0, -100000.0, 0.18300914764404297, 0.16400915384292603)
2024-03-03 01:20:00 -> (4.015010356903076, 0.2040105015039444, 0.2000104933977127, 0.19301049411296844, 0.18901050090789795, 0.18801049888134003, -100000.0, 4.0, -100000.0, 0.18901050090789795, 0.18001049757003784)
2024-03-03 01:25:00 -> (3.916675567626953, 0.20767563581466675, 0.20367564260959625, 0.16867564618587494, 0.16467563807964325, 0.157675638794899, -100000.0, 15.725809097290039, -100000.0, 0.16067564487457275, 0.15067563951015472)
2024-03-03 01:30:00 -> (4.0190110206604, 0.20201106369495392, 0.19801105558872223, 0.19101105630397797, 0.1880110502243042, 0.18701106309890747, -100000.0, 4.0, -100000.0, 0.18701106309890747, 0.1840110570192337)
2024-03-03 01:35:00 -> (3.7440097332000732, 0.17800971865653992, 0.17400971055030823, 0.16700971126556396, 0.16700971126556396, 0.16600970923900604, -100000.0, 4.0, -100000.0, 0.16600970923900604, 0.1600097119808197)
2024-03-03 01:40:00 -> (3.6756770610809326, 0.2176770269870758, 0.21367701888084412, 0.1786770224571228, 0.1746770143508911, 0.17367702722549438, -100000.0, 46.90876388549805, -100000.0, 0.17367702722549438, 0.17067702114582062)
2024-03-03 01:45:00 -> (4.020675182342529, 0.16967518627643585, 0.16567519307136536, 0.1586751937866211, 0.1546751856803894, 0.1546751856803894, -100000.0, 53.84511947631836, -100000.0, 0.1546751856803894, 0.14267519116401672)
2024-03-03 01:50:00 -> (4.127344131469727, 0.20734435319900513, 0.20334434509277344, 0.19634434580802917, 0.19534435868263245, 0.19034434854984283, -100000.0, 33.81310272216797, -100000.0, 0.1933443546295166, 0.17734435200691223)
2024-03-03 01:55:00 -> (4.27734375, 0.21234388649463654, 0.20834389328956604, 0.19434389472007751, 0.19234389066696167, 0.18134388327598572, -100000.0, 4.0, -100000.0, 0.19034388661384583, 0.16934388875961304)
2024-03-03 02:00:00 -> (4.758009433746338, 0.2350095510482788, 0.23100954294204712, 0.1960095465183258, 0.1920095533132553, 0.18600954115390778, -100000.0, 70.32437133789062, -100000.0, 0.19000954926013947, 0.16000954806804657)
2024-03-03 02:05:00 -> (4.666010856628418, 0.2120107114315033, 0.2080107182264328, 0.19301071763038635, 0.19201071560382843, 0.1860107183456421, -100000.0, 96.01696014404297, -100000.0, 0.1910107135772705, 0.16801071166992188)
2024-03-03 02:10:00 -> (5.277011394500732, 0.218011274933815, 0.2140112817287445, 0.19901128113269806, 0.19801127910614014, 0.1960112750530243, -100000.0, 19.09610366821289, -100000.0, 0.19801127910614014, 0.1840112805366516)
2024-03-03 02:15:00 -> (4.828010559082031, 0.20101071894168854, 0.19701072573661804, 0.19001072645187378, 0.1870107203722, 0.18101072311401367, -100000.0, 12.57433032989502, -100000.0, 0.18401071429252625, 0.17201071977615356)
2024-03-03 02:20:00 -> (5.236342430114746, 0.21734249591827393, 0.21334250271320343, 0.1993425041437149, 0.18034249544143677, 0.15734249353408813, -100000.0, 73.94612884521484, -100000.0, 0.17534250020980835, 0.15334250032901764)
2024-03-03 02:25:00 -> (4.954343318939209, 0.1863434761762619, 0.1823434680700302, 0.17534346878528595, 0.17534346878528595, 0.17234347760677338, -100000.0, 4.0, -100000.0, 0.17434346675872803, 0.1693434715270996)
2024-03-03 02:30:00 -> (6.296011447906494, 0.21001127362251282, 0.20601128041744232, 0.19901128113269806, 0.1960112750530243, 0.19001127779483795, -100000.0, 66.08479309082031, -100000.0, 0.19501128792762756, 0.1840112805366516)
2024-03-03 02:35:00 -> (6.293008327484131, 0.17400851845741272, 0.17000851035118103, 0.1560085117816925, 0.15300852060317993, 0.1510085165500641, -100000.0, 90.61048889160156, -100000.0, 0.152008518576622, 0.14400851726531982)
2024-03-03 02:40:00 -> (6.125342845916748, 0.18434275686740875, 0.18034276366233826, 0.16334275901317596, 0.16234275698661804, 0.1603427678346634, -100000.0, 99.62953186035156, -100000.0, 0.16234275698661804, 0.15734276175498962)
2024-03-03 02:45:00 -> (5.812343597412109, 0.19434337317943573, 0.19034336507320404, 0.1843433678150177, 0.17634336650371552, 0.1753433644771576, -100000.0, 25.332122802734375, -100000.0, 0.17634336650371552, 0.16934336721897125)
2024-03-03 02:50:00 -> (5.884008884429932, 0.23100902140140533, 0.22700901329517365, 0.19300901889801025, 0.1780090183019638, 0.1650090217590332, -100000.0, 17.04414939880371, -100000.0, 0.1740090250968933, 0.1560090184211731)
2024-03-03 02:55:00 -> (6.013676643371582, 0.21467678248882294, 0.21067678928375244, 0.18367677927017212, 0.1826767772436142, 0.18067678809165955, -100000.0, 4.0, -100000.0, 0.1826767772436142, 0.17067678272724152)
2024-03-03 03:00:00 -> (6.109676837921143, 0.2076767086982727, 0.20367670059204102, 0.185676708817482, 0.185676708817482, 0.18367670476436615, -100000.0, 4.0, -100000.0, 0.18467670679092407, 0.17467670142650604)
2024-03-03 03:05:00 -> (6.836676120758057, 0.18367592990398407, 0.1806759238243103, 0.17367592453956604, 0.16867592930793762, 0.16667592525482178, -100000.0, 30.384477615356445, -100000.0, 0.1676759272813797, 0.1586759239435196)
2024-03-03 03:10:00 -> (9.043343544006348, 0.21934375166893005, 0.21534374356269836, 0.19334374368190765, 0.19234375655651093, 0.191343754529953, -100000.0, 4.0, -100000.0, 0.19234375655651093, 0.18134374916553497)
2024-03-03 03:15:00 -> (9.81234359741211, 0.2473432421684265, 0.24334324896335602, 0.20934325456619263, 0.20734325051307678, 0.19434325397014618, -100000.0, 85.51779174804688, -100000.0, 0.2033432424068451, 0.1773432493209839)
2024-03-03 03:20:00 -> (9.928343772888184, 0.21634383499622345, 0.21234382688999176, 0.20634382963180542, 0.2053438276052475, 0.19934383034706116, -100000.0, 6.373041152954102, -100000.0, 0.20434382557868958, 0.18534383177757263)
2024-03-03 03:25:00 -> (9.529009819030762, 0.21000953018665314, 0.20600952208042145, 0.19900952279567719, 0.1960095316171646, 0.19000953435897827, -100000.0, 38.95759201049805, -100000.0, 0.1950095295906067, 0.17200952768325806)
2024-03-03 03:30:00 -> (9.889342308044434, 0.18334223330020905, 0.17934224009513855, 0.1733422428369522, 0.1723422408103943, 0.17134223878383636, -100000.0, 83.63002014160156, -100000.0, 0.1723422408103943, 0.15734224021434784)
2024-03-03 03:35:00 -> (8.657675743103027, 0.1986759454011917, 0.19567593932151794, 0.1806759387254715, 0.17967593669891357, 0.17367593944072723, -100000.0, 4.0, -100000.0, 0.17867593467235565, 0.16667594015598297)
2024-03-03 03:40:00 -> (8.266342163085938, 0.20334193110466003, 0.19934193789958954, 0.16534192860126495, 0.1633419394493103, 0.16234193742275238, -100000.0, 4.0, -100000.0, 0.1633419394493103, 0.15334193408489227)
2024-03-03 03:45:00 -> (8.918675422668457, 0.1826755255460739, 0.17867553234100342, 0.17167553305625916, 0.1686755269765854, 0.16767552495002747, -100000.0, 36.772579193115234, -100000.0, 0.1686755269765854, 0.16267552971839905)
2024-03-03 03:50:00 -> (7.915675163269043, 0.1736753135919571, 0.1696753203868866, 0.16367532312870026, 0.1606753170490265, 0.15767532587051392, -100000.0, 4.0, -100000.0, 0.15967531502246857, 0.15467531979084015)
2024-03-03 03:55:00 -> (8.39034366607666, 0.2223440408706665, 0.218344047665596, 0.21134404838085175, 0.21034404635429382, 0.20434404909610748, -100000.0, 18.502281188964844, -100000.0, 0.20734404027462006, 0.19334404170513153)
2024-03-03 04:00:00 -> (7.931342124938965, 0.22734233736991882, 0.22334232926368713, 0.18834233283996582, 0.1873423308134079, 0.18134233355522156, -100000.0, 41.44226837158203, -100000.0, 0.18534232676029205, 0.1653423309326172)
2024-03-03 04:05:00 -> (7.349675178527832, 0.17867499589920044, 0.17467500269412994, 0.1686750054359436, 0.16567499935626984, 0.163674995303154, -100000.0, 14.369120597839355, -100000.0, 0.16467499732971191, 0.15867500007152557)
2024-03-03 04:10:00 -> (9.074676513671875, 0.23067647218704224, 0.22667646408081055, 0.2206764668226242, 0.20967647433280945, 0.2036764770746231, -100000.0, 4.0, -100000.0, 0.2076764702796936, 0.17867647111415863)
2024-03-03 04:15:00 -> (9.26434326171875, 0.20734308660030365, 0.20334309339523315, 0.19734309613704681, 0.19434309005737305, 0.19334308803081512, -100000.0, 38.335968017578125, -100000.0, 0.19334308803081512, 0.18134309351444244)
