|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2018    237       6     35    ********
2018    237       6     40    130.7951
2018    237       6     45    131.5057
2018    237       6     50    131.8674
2018    237       6     55    131.6738
2018    237       7      0    130.7284
2018    237       7      5    130.9846
2018    237       7     10    130.7697
2018    237       7     15    131.5477
2018    237       7     20    131.8264
2018    237       7     25    131.6678
2018    237       7     30    131.7398
2018    237       7     35    132.9897
2018    237       7     40    132.5062
2018    237       7     45    133.3324
2018    237       7     50    133.6691
2018    237       7     55    134.3983
2018    237       8      0    136.0903
2018    237       8      5    136.5272
2018    237       8     10    138.9614
2018    237       8     15    139.8375
2018    237       8     20    143.2764
2018    237       8     25    145.4375
2018    237       8     30    145.5135
2018    237       8     35    146.3381
2018    237       8     40    142.9437
2018    237       8     45    139.8794
2018    237       8     50    137.1341
2018    237       8     55    137.8852
2018    237       9      0    137.6306
2018    237       9      5    138.5004
2018    237       9     10    139.2933
2018    237       9     15    138.8913
2018    237       9     20    140.2881
2018    237       9     25    140.5877
2018    237       9     30    140.5022
2018    237       9     35    140.0108
2018    237       9     40    139.3367
2018    237       9     45    138.9237
2018    237       9     50    141.3310
2018    237       9     55    140.4564
2018    237      10      0    141.4101
2018    237      10      5    140.5495
2018    237      10     10    140.0571
2018    237      10     15    141.0292
2018    237      10     20    142.2138
2018    237      10     25    142.3251
2018    237      10     30    141.6227
2018    237      10     35    140.8715
2018    237      10     40    141.0221
2018    237      10     45    141.7256
2018    237      10     50    141.1474
2018    237      10     55    143.5664
2018    237      11      0    145.5557
2018    237      11      5    146.1717
2018    237      11     10    144.7962
2018    237      11     15    146.2901
2018    237      11     20    146.5858
2018    237      11     25    146.9684
2018    237      11     30    147.8057
2018    237      11     35    148.1993
2018    237      11     40    147.8560
2018    237      11     45    147.2908
2018    237      11     50    143.4961
2018    237      11     55    144.3494
2018    237      12      0    143.2480
2018    237      12      5    143.0690
2018    237      12     10    141.8536
2018    237      12     15    141.9811
2018    237      12     20    141.8956
2018    237      12     25    142.1991
2018    237      12     30    142.4076
2018    237      12     35    142.4543
2018    237      12     40    142.4275
