|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2022     72       3     35    ********
2022     72       3     40    125.9853
2022     72       3     45    126.3433
2022     72       3     50    126.2619
2022     72       3     55    125.9718
2022     72       4      0    126.3806
2022     72       4      5    125.6682
2022     72       4     10    126.2221
2022     72       4     15    126.4711
2022     72       4     20    127.1096
2022     72       4     25    127.5914
2022     72       4     30    126.7364
2022     72       4     35    126.2617
2022     72       4     40    126.4724
2022     72       4     45    126.3378
2022     72       4     50    126.2222
2022     72       4     55    126.5864
2022     72       5      0    126.0312
2022     72       5      5    126.0638
2022     72       5     10    126.3963
2022     72       5     15    126.4142
2022     72       5     20    126.3616
2022     72       5     25    126.7877
2022     72       5     30    126.5221
2022     72       5     35    126.9077
2022     72       5     40    126.9061
2022     72       5     45    126.7198
2022     72       5     50    127.3409
2022     72       5     55    126.8829
2022     72       6      0    127.1578
2022     72       6      5    127.5957
2022     72       6     10    128.1949
2022     72       6     15    128.0121
2022     72       6     20    127.0568
2022     72       6     25    128.1021
2022     72       6     30    128.6006
2022     72       6     35    127.9325
2022     72       6     40    128.4520
2022     72       6     45    128.9147
2022     72       6     50    128.4682
2022     72       6     55    129.7829
2022     72       7      0    129.1672
2022     72       7      5    128.9764
2022     72       7     10    128.7885
2022     72       7     15    128.4673
2022     72       7     20    129.4873
2022     72       7     25    129.8249
2022     72       7     30    130.0917
2022     72       7     35    130.3262
2022     72       7     40    130.3691
2022     72       7     45    129.6515
2022     72       7     50    128.4501
2022     72       7     55    129.5939
2022     72       8      0    128.7549
2022     72       8      5    129.3007
2022     72       8     10    129.3545
2022     72       8     15    129.9652
2022     72       8     20    130.0342
2022     72       8     25    130.0071
2022     72       8     30    130.0132
2022     72       8     35    129.8915
2022     72       8     40    130.2433
2022     72       8     45    130.2216
2022     72       8     50    129.7157
2022     72       8     55    130.9499
2022     72       9      0    130.8062
2022     72       9      5    130.9318
2022     72       9     10    132.8742
2022     72       9     15    132.2633
2022     72       9     20    132.4837
2022     72       9     25    132.1874
2022     72       9     30    132.0914
2022     72       9     35    132.1718
2022     72       9     40    130.7114
2022     72       9     45    132.2241
2022     72       9     50    131.6674
2022     72       9     55    132.2292
2022     72      10      0    132.9088
2022     72      10      5    133.2981
2022     72      10     10    131.9200
2022     72      10     15    132.5908
2022     72      10     20    133.2472
2022     72      10     25    133.2424
2022     72      10     30    145.0019
2022     72      10     35    141.5138
2022     72      10     40    135.6738
2022     72      10     45    150.6420
2022     72      10     50    138.8240
2022     72      10     55    139.6779
2022     72      11      0    131.9795
2022     72      11      5    138.4951
2022     72      11     10    148.2177
2022     72      11     15    156.1984
2022     72      11     20    158.0416
2022     72      11     25    155.9517
2022     72      11     30    153.2265
2022     72      11     35    158.7194
2022     72      11     40    151.7749
2022     72      11     45    153.7030
2022     72      11     50    150.0517
2022     72      11     55    162.8909
2022     72      12      0    164.8914
2022     72      12      5    167.5306
2022     72      12     10    170.0456
2022     72      12     15    170.9879
2022     72      12     20    173.5596
2022     72      12     25    175.3544
2022     72      12     30    178.0504
2022     72      12     35    177.7318
2022     72      12     40    178.7794
2022     72      12     45    180.9619
2022     72      12     50    179.2015
2022     72      12     55    180.5706
2022     72      13      0    181.5473
2022     72      13      5    181.5263
2022     72      13     10    181.9811
2022     72      13     15    182.6333
2022     72      13     20    182.5463
2022     72      13     25    179.3120
2022     72      13     30    175.5979
2022     72      13     35    175.1834
2022     72      13     40    174.8913
2022     72      13     45    174.8245
2022     72      13     50    180.0061
2022     72      13     55    181.2613
2022     72      14      0    183.7739
2022     72      14      5    184.4095
2022     72      14     10    184.7494
2022     72      14     15    183.0402
2022     72      14     20    180.2732
2022     72      14     25    177.9260
2022     72      14     30    178.5162
2022     72      14     35    174.2780
2022     72      14     40    170.1585
2022     72      14     45    165.6112
2022     72      14     50    164.4449
2022     72      14     55    164.1482
2022     72      15      0    167.7650
2022     72      15      5    167.8952
2022     72      15     10    167.8394
2022     72      15     15    166.0288
2022     72      15     20    163.7451
2022     72      15     25    161.9356
2022     72      15     30    163.0802
2022     72      15     35    162.3293
2022     72      15     40    163.2015
2022     72      15     45    162.9865
2022     72      15     50    161.9689
2022     72      15     55    160.9705
2022     72      16      0    161.0180
2022     72      16      5    161.0972
2022     72      16     10    168.9740
2022     72      16     15    168.7640
2022     72      16     20    169.9827
2022     72      16     25    165.7242
2022     72      16     30    168.9150
2022     72      16     35    163.8741
2022     72      16     40    168.2380
2022     72      16     45    171.6351
2022     72      16     50    167.6152
2022     72      16     55    173.6312
2022     72      17      0    174.6359
2022     72      17      5    180.0940
2022     72      17     10    177.9162
2022     72      17     15    178.2314
2022     72      17     20    179.6048
2022     72      17     25    181.7020
2022     72      17     30    180.4443
2022     72      17     35    181.0594
2022     72      17     40    183.3993
2022     72      17     45    183.3971
2022     72      17     50    181.5428
2022     72      17     55    181.2659
2022     72      18      0    179.2271
2022     72      18      5    177.7432
2022     72      18     10    176.6904
2022     72      18     15    175.4523
2022     72      18     20    171.8644
2022     72      18     25    170.7323
2022     72      18     30    166.9276
2022     72      18     35    164.4847
2022     72      18     40    163.2035
2022     72      18     45    162.8635
2022     72      18     50    159.9721
2022     72      18     55    159.6700
2022     72      19      0    158.5582
2022     72      19      5    158.3599
2022     72      19     10    156.7408
2022     72      19     15    155.8954
2022     72      19     20    156.2132
2022     72      19     25    155.1815
2022     72      19     30    156.4354
2022     72      19     35    153.4877
2022     72      19     40    153.5786
2022     72      19     45    153.7164
2022     72      19     50    158.8080
2022     72      19     55    163.1830
2022     72      20      0    168.0386
2022     72      20      5    163.3009
2022     72      20     10    163.7868
2022     72      20     15    165.7099
2022     72      20     20    163.8042
2022     72      20     25    163.7778
2022     72      20     30    163.3065
2022     72      20     35    163.5377
2022     72      20     40    164.4378
2022     72      20     45    167.7156
2022     72      20     50    169.8428
2022     72      20     55    169.2429
2022     72      21      0    167.7083
2022     72      21      5    164.3577
2022     72      21     10    159.8394
2022     72      21     15    158.6486
2022     72      21     20    157.0062
2022     72      21     25    160.0198
2022     72      21     30    158.3423
2022     72      21     35    157.3932
2022     72      21     40    155.2888
2022     72      21     45    164.4920
2022     72      21     50    164.8345
2022     72      21     55    165.5169
2022     72      22      0    165.6932
2022     72      22      5    168.4879
2022     72      22     10    172.2422
2022     72      22     15    176.7755
2022     72      22     20    177.4731
2022     72      22     25    177.7394
2022     72      22     30    180.2448
2022     72      22     35    176.5940
2022     72      22     40    168.8328
2022     72      22     45    165.4259
2022     72      22     50    168.0449
2022     72      22     55    169.1766
2022     72      23      0    168.1918
2022     72      23      5    172.4483
2022     72      23     10    172.2113
2022     72      23     15    175.0904
2022     72      23     20    176.9905
2022     72      23     25    175.7617
2022     72      23     30    175.4329
2022     72      23     35    165.7454
2022     72      23     40    162.5948
2022     72      23     45    160.6582
2022     72      23     50    157.8120
2022     72      23     55    155.4186
2022     73       0      0    153.7705
2022     73       0      5    152.6769
2022     73       0     10    151.5951
2022     73       0     15    150.7008
2022     73       0     20    150.2658
2022     73       0     25    149.5219
2022     73       0     30    148.2771
2022     73       0     35    147.0834
2022     73       0     40    147.6875
2022     73       0     45    147.2299
2022     73       0     50    146.6375
2022     73       0     55    145.9985
2022     73       1      0    148.6821
2022     73       1      5    146.8040
2022     73       1     10    146.6628
2022     73       1     15    146.2256
2022     73       1     20    144.3138
2022     73       1     25    144.0806
2022     73       1     30    143.7932
2022     73       1     35    143.5634
2022     73       1     40    144.7233
2022     73       1     45    145.0671
2022     73       1     50    144.2419
2022     73       1     55    145.3610
2022     73       2      0    145.0518
2022     73       2      5    144.5357
2022     73       2     10    144.2785
2022     73       2     15    144.0825
2022     73       2     20    144.4980
2022     73       2     25    144.1720
2022     73       2     30    144.9127
2022     73       2     35    142.5632
2022     73       2     40    141.0524
2022     73       2     45    140.9302
2022     73       2     50    141.4923
2022     73       2     55    142.3164
2022     73       3      0    142.0309
2022     73       3      5    142.2792
2022     73       3     10    142.6666
2022     73       3     15    142.4349
2022     73       3     20    142.5641
2022     73       3     25    141.4692
2022     73       3     30    141.2676
2022     73       3     35    141.2219
2022     73       3     40    141.1557
2022     73       3     45    141.2506
2022     73       3     50    142.4262
2022     73       3     55    142.1770
2022     73       4      0    142.9281
2022     73       4      5    142.0715
2022     73       4     10    142.0414
2022     73       4     15    143.3333
2022     73       4     20    143.3043
2022     73       4     25    143.0521
2022     73       4     30    143.0773
2022     73       4     35    141.4341
2022     73       4     40    141.8863
2022     73       4     45    140.6336
2022     73       4     50    141.0160
2022     73       4     55    140.8828
2022     73       5      0    141.6248
2022     73       5      5    142.5318
2022     73       5     10    142.1146
2022     73       5     15    141.3036
2022     73       5     20    141.2607
2022     73       5     25    140.9324
2022     73       5     30    140.5515
2022     73       5     35    140.7080
2022     73       5     40    140.9652
2022     73       5     45    141.2275
2022     73       5     50    140.7262
2022     73       5     55    141.0459
2022     73       6      0    141.6727
2022     73       6      5    141.7826
2022     73       6     10    141.3978
2022     73       6     15    140.9350
2022     73       6     20    142.0764
2022     73       6     25    142.2994
2022     73       6     30    141.8684
2022     73       6     35    141.3748
2022     73       6     40    142.1356
2022     73       6     45    142.6338
2022     73       6     50    140.6851
2022     73       6     55    142.5720
2022     73       7      0    143.0196
2022     73       7      5    144.0515
2022     73       7     10    145.6905
2022     73       7     15    146.2507
2022     73       7     20    147.0007
2022     73       7     25    146.8494
2022     73       7     30    147.2591
2022     73       7     35    146.6284
2022     73       7     40    147.9726
2022     73       7     45    148.9494
2022     73       7     50    148.7298
2022     73       7     55    148.5494
2022     73       8      0    150.4578
2022     73       8      5    150.9275
2022     73       8     10    153.7503
2022     73       8     15    154.7494
2022     73       8     20    154.0671
2022     73       8     25    153.9473
2022     73       8     30    153.8507
2022     73       8     35    152.7034
2022     73       8     40    152.0997
2022     73       8     45    150.5998
2022     73       8     50    150.6443
2022     73       8     55    151.4747
2022     73       9      0    152.2919
2022     73       9      5    154.1372
2022     73       9     10    154.6090
2022     73       9     15    154.4298
2022     73       9     20    153.4498
2022     73       9     25    153.4953
2022     73       9     30    154.8653
2022     73       9     35    153.5084
2022     73       9     40    153.5091
2022     73       9     45    154.3263
2022     73       9     50    154.8626
2022     73       9     55    153.8197
2022     73      10      0    153.7859
2022     73      10      5    152.9762
2022     73      10     10    151.7689
2022     73      10     15    151.9614
2022     73      10     20    151.7499
2022     73      10     25    149.8539
2022     73      10     30    147.0207
2022     73      10     35    147.0367
2022     73      10     40    146.8729
2022     73      10     45    147.2203
2022     73      10     50    149.1924
2022     73      10     55    148.3570
2022     73      11      0    146.6003
2022     73      11      5    145.4439
2022     73      11     10    146.2760
2022     73      11     15    145.0661
2022     73      11     20    145.3509
2022     73      11     25    144.1102
2022     73      11     30    145.9720
2022     73      11     35    147.2702
2022     73      11     40    147.1142
2022     73      11     45    146.5202
2022     73      11     50    146.8954
2022     73      11     55    145.0425
2022     73      12      0    145.0247
2022     73      12      5    145.5124
2022     73      12     10    145.9381
2022     73      12     15    146.0967
2022     73      12     20    145.9432
2022     73      12     25    145.6452
2022     73      12     30    145.7330
2022     73      12     35    148.0459
2022     73      12     40    147.9152
2022     73      12     45    148.6002
2022     73      12     50    148.8792
2022     73      12     55    149.0900
2022     73      13      0    149.0728
2022     73      13      5    149.1336
2022     73      13     10    148.0518
2022     73      13     15    149.8312
2022     73      13     20    149.8565
2022     73      13     25    149.8154
2022     73      13     30    149.5729
2022     73      13     35    149.3139
2022     73      13     40    149.4667
2022     73      13     45    149.7953
2022     73      13     50    149.4976
2022     73      13     55    148.7242
2022     73      14      0    149.3522
2022     73      14      5    150.2854
2022     73      14     10    149.7649
2022     73      14     15    149.7497
2022     73      14     20    149.7087
2022     73      14     25    147.1473
2022     73      14     30    147.0625
2022     73      14     35    147.8251
2022     73      14     40    147.1390
2022     73      14     45    147.6161
2022     73      14     50    147.2754
2022     73      14     55    145.0064
2022     73      15      0    144.7285
2022     73      15      5    145.1498
2022     73      15     10    145.5959
2022     73      15     15    145.1817
2022     73      15     20    144.9691
2022     73      15     25    144.6412
2022     73      15     30    144.2643
2022     73      15     35    144.0716
2022     73      15     40    143.2920
2022     73      15     45    142.6016
2022     73      15     50    144.1103
2022     73      15     55    145.5097
2022     73      16      0    143.9459
2022     73      16      5    143.4670
2022     73      16     10    144.5211
2022     73      16     15    145.4637
2022     73      16     20    145.6850
2022     73      16     25    146.8765
2022     73      16     30    147.7974
2022     73      16     35    147.1346
2022     73      16     40    148.0285
2022     73      16     45    146.3163
