|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2022    294       4     35    Infinity
2022    294       4     40    237.5731
2022    294       4     45    237.3188
2022    294       4     50    237.2986
2022    294       4     55    237.3686
2022    294       5      0    236.9016
2022    294       5      5    236.4963
2022    294       5     10    235.6601
2022    294       5     15    235.7286
2022    294       5     20    235.3945
2022    294       5     25    235.8509
2022    294       5     30    236.3255
2022    294       5     35    236.8204
2022    294       5     40    237.1889
2022    294       5     45    237.5904
2022    294       5     50    237.6524
2022    294       5     55    237.9318
2022    294       6      0    238.2904
2022    294       6      5    238.3011
2022    294       6     10    238.6201
2022    294       6     15    239.1413
2022    294       6     20    239.1330
2022    294       6     25    239.1172
2022    294       6     30    239.8788
2022    294       6     35    240.3176
2022    294       6     40    240.9159
2022    294       6     45    241.1051
2022    294       6     50    241.0565
2022    294       6     55    241.3654
2022    294       7      0    241.4426
2022    294       7      5    241.5890
2022    294       7     10    241.4504
2022    294       7     15    242.0864
2022    294       7     20    243.1020
2022    294       7     25    243.0188
2022    294       7     30    243.1957
2022    294       7     35    243.4318
2022    294       7     40    244.9329
2022    294       7     45    243.5955
2022    294       7     50    244.0704
2022    294       7     55    244.3694
2022    294       8      0    244.4322
2022    294       8      5    244.3890
2022    294       8     10    244.4978
2022    294       8     15    244.8591
2022    294       8     20    245.4005
2022    294       8     25    247.1961
2022    294       8     30    248.3879
2022    294       8     35    248.2421
2022    294       8     40    248.8372
2022    294       8     45    248.9072
2022    294       8     50    249.1752
2022    294       8     55    249.0610
2022    294       9      0    249.4037
2022    294       9      5    250.3168
2022    294       9     10    250.4509
2022    294       9     15    251.2128
2022    294       9     20    250.7034
2022    294       9     25    251.3190
2022    294       9     30    252.2399
2022    294       9     35    254.4061
2022    294       9     40    252.1225
2022    294       9     45    252.2511
2022    294       9     50    251.0291
2022    294       9     55    250.6810
2022    294      10      0    249.7295
2022    294      10      5    249.6373
2022    294      10     10    249.1363
2022    294      10     15    248.6259
2022    294      10     20    247.1755
2022    294      10     25    246.8824
2022    294      10     30    247.4975
2022    294      10     35    247.2546
2022    294      10     40    247.1738
2022    294      10     45    246.9554
2022    294      10     50    247.5114
2022    294      10     55    247.6700
2022    294      11      0    247.4362
2022    294      11      5    247.8634
2022    294      11     10    248.9598
2022    294      11     15    248.6915
2022    294      11     20    248.3043
2022    294      11     25    248.7734
2022    294      11     30    250.6450
2022    294      11     35    252.5074
2022    294      11     40    252.3372
2022    294      11     45    252.6655
2022    294      11     50    252.5078
2022    294      11     55    252.7231
2022    294      12      0    253.4078
2022    294      12      5    253.5965
2022    294      12     10    252.9609
2022    294      12     15    253.1014
2022    294      12     20    252.8565
2022    294      12     25    252.7296
2022    294      12     30    252.7392
2022    294      12     35    253.0431
2022    294      12     40    252.5165
2022    294      12     45    253.2579
2022    294      12     50    253.5417
2022    294      12     55    252.9569
2022    294      13      0    254.1916
2022    294      13      5    253.9578
2022    294      13     10    253.6445
2022    294      13     15    253.9317
2022    294      13     20    254.0792
2022    294      13     25    254.5472
2022    294      13     30    253.5133
2022    294      13     35    252.8385
2022    294      13     40    253.2014
2022    294      13     45    253.4979
2022    294      13     50    253.7275
2022    294      13     55    253.7980
2022    294      14      0    254.0022
2022    294      14      5    254.1600
2022    294      14     10    253.7097
2022    294      14     15    253.7045
2022    294      14     20    253.4674
2022    294      14     25    253.8583
2022    294      14     30    253.8972
2022    294      14     35    254.2172
2022    294      14     40    254.7187
2022    294      14     45    254.8959
2022    294      14     50    253.6759
2022    294      14     55    252.7262
2022    294      15      0    252.8697
2022    294      15      5    251.4186
2022    294      15     10    251.9972
2022    294      15     15    252.3444
2022    294      15     20    252.6466
2022    294      15     25    253.4717
2022    294      15     30    253.8122
2022    294      15     35    253.9883
2022    294      15     40    255.7602
2022    294      15     45    256.2782
2022    294      15     50    256.4737
2022    294      15     55    255.5427
2022    294      16      0    255.2266
2022    294      16      5    254.4168
2022    294      16     10    254.0538
2022    294      16     15    252.9617
2022    294      16     20    252.0337
2022    294      16     25    251.7511
2022    294      16     30    251.4274
2022    294      16     35    251.9203
2022    294      16     40    251.0599
2022    294      16     45    251.7459
2022    294      16     50    251.5638
2022    294      16     55    252.1931
2022    294      17      0    251.7176
2022    294      17      5    252.3268
2022    294      17     10    253.0369
2022    294      17     15    254.8522
2022    294      17     20    254.7237
2022    294      17     25    255.0610
2022    294      17     30    252.3007
2022    294      17     35    250.5082
2022    294      17     40    250.6951
2022    294      17     45    250.7638
2022    294      17     50    250.7403
2022    294      17     55    251.8705
2022    294      18      0    251.9874
2022    294      18      5    251.5598
2022    294      18     10    251.1671
2022    294      18     15    251.4251
2022    294      18     20    252.6969
2022    294      18     25    251.5906
2022    294      18     30    248.4468
2022    294      18     35    246.4831
2022    294      18     40    245.7599
2022    294      18     45    246.5317
2022    294      18     50    247.5306
2022    294      18     55    248.3230
2022    294      19      0    247.9012
2022    294      19      5    247.5171
2022    294      19     10    246.9594
2022    294      19     15    247.5638
2022    294      19     20    247.2565
2022    294      19     25    247.9381
2022    294      19     30    247.2202
2022    294      19     35    247.0219
2022    294      19     40    246.4662
2022    294      19     45    246.9743
2022    294      19     50    246.5400
2022    294      19     55    246.4258
2022    294      20      0    245.6824
2022    294      20      5    246.4166
2022    294      20     10    246.6524
2022    294      20     15    246.2776
2022    294      20     20    247.0152
2022    294      20     25    246.9119
2022    294      20     30    246.8943
2022    294      20     35    246.3229
2022    294      20     40    245.9279
2022    294      20     45    246.2115
2022    294      20     50    245.8247
2022    294      20     55    244.5656
2022    294      21      0    244.9364
2022    294      21      5    245.0699
2022    294      21     10    245.7990
2022    294      21     15    245.3430
2022    294      21     20    243.4046
2022    294      21     25    240.2380
2022    294      21     30    240.3515
2022    294      21     35    240.2584
2022    294      21     40    242.4374
2022    294      21     45    242.7286
2022    294      21     50    240.7631
2022    294      21     55    240.6932
2022    294      22      0    239.0687
2022    294      22      5    238.8878
2022    294      22     10    239.4619
2022    294      22     15    238.5624
2022    294      22     20    238.6678
2022    294      22     25    238.5358
2022    294      22     30    239.4530
2022    294      22     35    238.8245
2022    294      22     40    238.7671
2022    294      22     45    239.1410
2022    294      22     50    239.8330
2022    294      22     55    239.5924
2022    294      23      0    239.2207
2022    294      23      5    237.6327
2022    294      23     10    237.3825
2022    294      23     15    237.3950
2022    294      23     20    237.5235
2022    294      23     25    237.5803
2022    294      23     30    237.2470
2022    294      23     35    237.5720
2022    294      23     40    238.2771
2022    294      23     45    238.5392
2022    294      23     50    239.2101
2022    294      23     55    238.9413
2022    295       0      0    238.3131
2022    295       0      5    238.5871
2022    295       0     10    238.7796
2022    295       0     15    238.4990
2022    295       0     20    238.9395
2022    295       0     25    239.1083
2022    295       0     30    239.0021
2022    295       0     35    238.9180
2022    295       0     40    237.4440
2022    295       0     45    235.9839
2022    295       0     50    233.6584
2022    295       0     55    233.9799
2022    295       1      0    232.4399
2022    295       1      5    230.4879
2022    295       1     10    230.7086
2022    295       1     15    230.4964
2022    295       1     20    230.7115
2022    295       1     25    230.1738
2022    295       1     30    230.8459
2022    295       1     35    231.4509
2022    295       1     40    231.4523
2022    295       1     45    231.1189
2022    295       1     50    231.2532
2022    295       1     55    231.0125
2022    295       2      0    231.9030
2022    295       2      5    232.1600
2022    295       2     10    231.6688
2022    295       2     15    232.5877
2022    295       2     20    233.0988
2022    295       2     25    234.5269
2022    295       2     30    234.6362
2022    295       2     35    236.6211
2022    295       2     40    235.9570
2022    295       2     45    235.7019
2022    295       2     50    234.3594
2022    295       2     55    235.4457
2022    295       3      0    235.5828
2022    295       3      5    236.0482
2022    295       3     10    235.6271
2022    295       3     15    236.3359
2022    295       3     20    236.5245
2022    295       3     25    237.1074
2022    295       3     30    237.2277
2022    295       3     35    236.7329
2022    295       3     40    237.3435
2022    295       3     45    238.7325
2022    295       3     50    237.9010
2022    295       3     55    237.8643
2022    295       4      0    238.0366
2022    295       4      5    238.4577
2022    295       4     10    238.6581
2022    295       4     15    238.2059
2022    295       4     20    238.6504
2022    295       4     25    238.7822
2022    295       4     30    238.9666
2022    295       4     35    239.0975
2022    295       4     40    239.3165
2022    295       4     45    239.5879
2022    295       4     50    240.5185
2022    295       4     55    240.0953
2022    295       5      0    240.5999
2022    295       5      5    240.0511
2022    295       5     10    239.9281
2022    295       5     15    241.4656
2022    295       5     20    240.9118
2022    295       5     25    240.7473
2022    295       5     30    241.5660
2022    295       5     35    242.0487
2022    295       5     40    241.6426
2022    295       5     45    241.7007
2022    295       5     50    243.0028
