X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2024    223       7     35        0.00    13.416
2024    223       7     40        0.00    13.416
2024    223       7     45        0.00    13.416
2024    223       7     50        0.00    13.416
2024    223       7     55        0.00    13.416
2024    223       8      0        0.00    13.416
2024    223       8      5        0.00    13.416
2024    223       8     10        0.00    13.416
2024    223       8     15        0.00    13.416
2024    223       8     20        0.00    13.416
2024    223       8     25        0.00    13.416
2024    223       8     30        0.00    13.416
2024    223       8     35        0.00    13.416
2024    223       8     40        0.00    13.416
2024    223       8     45        0.00    13.416
2024    223       8     50        0.00    13.416
2024    223       8     55        0.00    13.416
2024    223       9      0        0.00    13.416
2024    223       9      5        0.00    13.416
2024    223       9     10        0.00    13.416
2024    223       9     15        0.00    13.416
2024    223       9     20        0.00    13.416
2024    223       9     25        0.00    13.416
2024    223       9     30        0.00    13.416
2024    223       9     35        0.00    13.416
2024    223       9     40        0.00    13.416
2024    223       9     45        0.00    13.416
2024    223       9     50        0.00    13.416
2024    223       9     55        0.00    13.416
2024    223      10      0        0.00    13.416
2024    223      10      5        0.00    13.416
2024    223      10     10        0.00    13.416
2024    223      10     15        0.00    13.416
2024    223      10     20        0.00    13.416
2024    223      10     25        0.00    13.416
2024    223      10     30        0.00    13.416
2024    223      10     35        0.00    13.416
2024    223      10     40        0.00    13.416
2024    223      10     45        0.00    13.416
2024    223      10     50        0.00    13.416
2024    223      10     55        0.00    13.416
2024    223      11      0        0.00    13.416
2024    223      11      5        0.00    13.416
2024    223      11     10        0.00    13.416
2024    223      11     15        0.00    13.416
2024    223      11     20        0.00    13.416
2024    223      11     25        0.00    13.416
2024    223      11     30        0.00    13.416
2024    223      11     35        0.00    13.416
2024    223      11     40        0.00    13.416
2024    223      11     45        0.00    13.416
2024    223      11     50        0.00    13.416
2024    223      11     55        0.00    13.416
2024    223      12      0        0.00    13.416
2024    223      12      5        0.00    13.416
2024    223      12     10        0.00    13.416
2024    223      12     15        0.00    13.416
2024    223      12     20        0.00    13.416
2024    223      12     25        0.00    13.416
2024    223      12     30        0.00    13.416
2024    223      12     35        0.00    13.416
2024    223      12     40        0.00    13.416
2024    223      12     45        0.00    13.416
2024    223      12     50        0.00    13.416
2024    223      12     55        0.00    13.416
2024    223      13      0        0.00    13.416
2024    223      13      5        0.00    13.416
2024    223      13     10        0.00    13.416
2024    223      13     15        0.00    13.416
2024    223      13     20        0.00    13.416
2024    223      13     25        0.00    13.416
2024    223      13     30        0.00    13.416
2024    223      13     35        0.00    13.416
2024    223      13     40        0.00    13.416
2024    223      13     45        0.00    13.416
2024    223      13     50        0.00    13.416
2024    223      13     55        0.00    13.416
2024    223      14      0        0.00    13.416
2024    223      14      5        0.00    13.416
2024    223      14     10        0.00    13.416
2024    223      14     15        0.00    13.416
2024    223      14     20        0.00    13.416
2024    223      14     25        0.00    13.416
2024    223      14     30        0.00    13.416
2024    223      14     35        0.00    13.416
2024    223      14     40        0.00    13.416
2024    223      14     45        0.00    13.416
2024    223      14     50        0.00    13.416
2024    223      14     55        0.00    13.416
2024    223      15      0        0.00    13.416
2024    223      15      5        0.00    13.416
2024    223      15     10        0.00    13.416
2024    223      15     15        0.00    13.416
2024    223      15     20        0.00    13.416
2024    223      15     25        0.00    13.416
2024    223      15     30        0.00    13.416
2024    223      15     35        0.00    13.416
2024    223      15     40        0.00    13.416
2024    223      15     45        0.00    13.416
2024    223      15     50        0.00    13.416
2024    223      15     55        0.00    13.416
2024    223      16      0        0.00    13.416
2024    223      16      5        0.00    13.416
2024    223      16     10        0.00    13.416
2024    223      16     15        0.00    13.416
2024    223      16     20        0.00    13.416
2024    223      16     25        0.00    13.416
2024    223      16     30        0.00    13.416
2024    223      16     35        0.00    13.416
2024    223      16     40        0.00    13.416
2024    223      16     45        0.00    13.416
2024    223      16     50        0.00    13.416
2024    223      16     55        0.00    13.416
2024    223      17      0        0.00    13.416
2024    223      17      5        0.00    13.416
2024    223      17     10        0.00    13.416
2024    223      17     15        0.00    13.416
2024    223      17     20        0.00    13.416
2024    223      17     25        0.00    13.416
2024    223      17     30        0.00    13.416
2024    223      17     35        0.00    13.416
2024    223      17     40        0.00    13.416
2024    223      17     45        0.00    13.416
2024    223      17     50        0.00    13.416
2024    223      17     55        0.00    13.416
2024    223      18      0        0.00    13.416
2024    223      18      5        0.00    13.416
2024    223      18     10        0.00    13.416
2024    223      18     15        0.00    13.416
2024    223      18     20        0.00    13.416
2024    223      18     25        0.00    13.416
2024    223      18     30        0.00    13.416
2024    223      18     35        0.00    13.416
2024    223      18     40        0.00    13.416
2024    223      18     45        0.00    13.416
2024    223      18     50        0.00    13.416
2024    223      18     55        0.00    13.416
2024    223      19      0        0.00    13.416
2024    223      19      5        0.00    13.416
2024    223      19     10        0.00    13.416
2024    223      19     15        0.00    13.416
2024    223      19     20        0.00    13.416
2024    223      19     25        0.00    13.416
2024    223      19     30        0.00    13.416
2024    223      19     35        0.00    13.416
2024    223      19     40        0.00    13.416
2024    223      19     45        0.00    13.416
2024    223      19     50        0.00    13.416
2024    223      19     55        0.00    13.416
2024    223      20      0        0.00    13.416
2024    223      20      5        0.00    13.416
2024    223      20     10        0.00    13.416
2024    223      20     15        0.00    13.416
2024    223      20     20        0.00    13.416
2024    223      20     25        0.00    13.416
2024    223      20     30        0.00    13.416
2024    223      20     35        0.00    13.416
2024    223      20     40        0.00    13.416
2024    223      20     45        0.00    13.416
2024    223      20     50        0.00    13.416
2024    223      20     55        0.00    13.416
2024    223      21      0        0.00    13.416
2024    223      21      5        0.00    13.416
2024    223      21     10        0.00    13.416
2024    223      21     15        0.00    13.416
2024    223      21     20        0.00    13.416
2024    223      21     25        0.00    13.416
2024    223      21     30        0.00    13.416
2024    223      21     35        0.00    13.416
2024    223      21     40        0.00    13.416
2024    223      21     45        0.00    13.416
2024    223      21     50        0.00    13.416
2024    223      21     55        0.00    13.416
2024    223      22      0        0.00    13.416
2024    223      22      5        0.00    13.416
2024    223      22     10        0.00    13.416
2024    223      22     15        0.00    13.416
2024    223      22     20        0.00    13.416
2024    223      22     25        0.00    13.416
2024    223      22     30        0.00    13.416
2024    223      22     35        0.00    13.416
2024    223      22     40        0.00    13.416
2024    223      22     45        0.00    13.416
2024    223      22     50        0.00    13.416
2024    223      22     55        0.00    13.416
2024    223      23      0        0.00    13.416
2024    223      23      5        0.00    13.416
2024    223      23     10        0.00    13.416
2024    223      23     15        0.00    13.416
2024    223      23     20        0.00    13.416
2024    223      23     25        0.00    13.416
2024    223      23     30        0.00    13.416
2024    223      23     35        0.00    13.416
2024    223      23     40        0.00    13.416
2024    223      23     45        0.00    13.416
2024    223      23     50        0.00    13.416
2024    223      23     55        0.00    13.416
2024    224       0      0        0.00    13.416
2024    224       0      5        0.00    13.416
2024    224       0     10        0.00    13.416
2024    224       0     15        0.00    13.416
2024    224       0     20        0.00    13.416
2024    224       0     25        0.00    13.416
2024    224       0     30        0.00    13.416
2024    224       0     35        0.00    13.416
2024    224       0     40        0.00    13.416
2024    224       0     45        0.00    13.416
2024    224       0     50        0.00    13.416
2024    224       0     55        0.00    13.416
2024    224       1      0        0.00    13.416
2024    224       1      5        0.00    13.416
2024    224       1     10        0.00    13.416
2024    224       1     15        0.00    13.416
2024    224       1     20        0.00    13.416
2024    224       1     25        0.00    13.416
2024    224       1     30        0.00    13.416
2024    224       1     35        0.00    13.416
2024    224       1     40        0.00    13.416
2024    224       1     45        0.00    13.416
2024    224       1     50        0.00    13.416
2024    224       1     55        0.00    13.416
2024    224       2      0        0.00    13.416
2024    224       2      5        0.00    13.416
2024    224       2     10        0.00    13.416
2024    224       2     15        0.00    13.416
2024    224       2     20        0.00    13.416
2024    224       2     25        0.00    13.416
2024    224       2     30        0.75     9.824
2024    224       2     35        0.72     9.747
2024    224       2     40        0.65     9.539
2024    224       2     45        0.67     9.434
2024    224       2     50        0.69     9.419
2024    224       2     55        0.57     9.342
2024    224       3      0        0.88     9.358
2024    224       3      5        0.76     9.322
