X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2024    284       9     35        nan     nan   
2024    284       9     40        nan     nan   
2024    284       9     45        nan     nan   
2024    284       9     50        nan     nan   
2024    284       9     55        nan     nan   
2024    284      10      0        nan     nan   
2024    284      10      5        nan     nan   
2024    284      10     10        nan     nan   
2024    284      10     15        nan     nan   
2024    284      10     20        nan     nan   
2024    284      10     25        nan     nan   
2024    284      10     30        nan     nan   
2024    284      10     35        nan     nan   
2024    284      10     40        nan     nan   
2024    284      10     45        nan     nan   
2024    284      10     50        nan     nan   
2024    284      10     55        nan     nan   
2024    284      11      0        nan     nan   
2024    284      11      5        nan     nan   
2024    284      11     10        nan     nan   
2024    284      11     15        nan     nan   
2024    284      11     20        nan     nan   
2024    284      11     25        nan     nan   
2024    284      11     30        nan     nan   
2024    284      11     35        nan     nan   
2024    284      11     40        nan     nan   
2024    284      11     45        nan     nan   
2024    284      11     50        nan     nan   
2024    284      11     55        nan     nan   
2024    284      12      0        nan     nan   
2024    284      12      5        nan     nan   
2024    284      12     10        nan     nan   
2024    284      12     15        nan     nan   
2024    284      12     20        nan     nan   
2024    284      12     25        nan     nan   
2024    284      12     30        nan     nan   
2024    284      12     35        nan     nan   
2024    284      12     40        nan     nan   
2024    284      12     45        nan     nan   
2024    284      12     50        nan     nan   
2024    284      12     55        nan     nan   
2024    284      13      0        nan     nan   
2024    284      13      5        nan     nan   
2024    284      13     10        nan     nan   
2024    284      13     15        nan     nan   
2024    284      13     20        nan     nan   
2024    284      13     25        nan     nan   
2024    284      13     30        nan     nan   
2024    284      13     35        nan     nan   
2024    284      13     40        nan     nan   
2024    284      13     45        nan     nan   
2024    284      13     50        nan     nan   
2024    284      13     55        nan     nan   
2024    284      14      0        nan     nan   
2024    284      14      5        nan     nan   
2024    284      14     10        nan     nan   
2024    284      14     15        nan     nan   
2024    284      14     20        nan     nan   
2024    284      14     25        nan     nan   
2024    284      14     30        nan     nan   
2024    284      14     35        nan     nan   
2024    284      14     40        nan     nan   
2024    284      14     45        nan     nan   
2024    284      14     50        nan     nan   
2024    284      14     55        nan     nan   
2024    284      15      0        nan     nan   
2024    284      15      5        nan     nan   
2024    284      15     10        nan     nan   
2024    284      15     15        nan     nan   
2024    284      15     20        nan     nan   
2024    284      15     25        1.22     9.587
2024    284      15     30        1.82     8.853
2024    284      15     35        4.01     8.608
2024    284      15     40        2.39     8.281
2024    284      15     45        1.31     8.122
2024    284      15     50        4.58     7.960
2024    284      15     55        1.80     7.968
2024    284      16      0        2.75     7.974
2024    284      16      5        4.11     7.887
2024    284      16     10        8.75     6.080
2024    284      16     15        1.50     6.002
2024    284      16     20       15.41     5.769
2024    284      16     25       17.86     5.765
2024    284      16     30       29.78     5.482
2024    284      16     35       54.27     5.201
2024    284      16     40      107.47     5.003
2024    284      16     45       34.49     4.963
2024    284      16     50       54.64     4.973
2024    284      16     55      123.24     4.928
2024    284      17      0      444.20     5.006
2024    284      17      5       68.21     5.124
2024    284      17     10       47.25     5.244
2024    284      17     15       24.84     5.402
2024    284      17     20       31.41     5.567
2024    284      17     25        7.44     5.644
2024    284      17     30        4.53     5.761
2024    284      17     35       51.59     5.842
2024    284      17     40       27.28     5.642
2024    284      17     45       39.80     5.522
