goesp_part_flux_P5M: (time -> (P1, P5, P10, P30, P50, P100, E_8, E2_0, E4_0, P60, P500))
2023-03-22 23:00:00 -> (7.951014995574951, 1.051015019416809, 0.4660149812698364, 0.24201498925685883, 0.23501498997211456, 0.23401498794555664, -100000.0, 140.34048461914062, -100000.0, 0.23501498997211456, 0.2240149825811386)
2023-03-22 23:05:00 -> (6.670681953430176, 0.7676818370819092, 0.37568187713623047, 0.243681862950325, 0.23668186366558075, 0.23368187248706818, -100000.0, 93.44784545898438, -100000.0, 0.23568186163902283, 0.2306818664073944)
2023-03-22 23:10:00 -> (8.149680137634277, 0.7496805787086487, 0.4056805968284607, 0.22568058967590332, 0.2246805876493454, 0.2156805843114853, -100000.0, 109.57144927978516, -100000.0, 0.22268058359622955, 0.21068058907985687)
2023-03-22 23:15:00 -> (6.175347805023193, 0.4743478298187256, 0.27434784173965454, 0.24834783375263214, 0.2333478331565857, 0.22634783387184143, -100000.0, 91.41321563720703, -100000.0, 0.23134784400463104, 0.221347838640213)
2023-03-22 23:20:00 -> (6.077012538909912, 0.8850125074386597, 0.4220125079154968, 0.21901249885559082, 0.20701250433921814, 0.19901250302791595, -100000.0, 205.47308349609375, -100000.0, 0.20401249825954437, 0.1960124969482422)
2023-03-22 23:25:00 -> (6.525681018829346, 0.7526810169219971, 0.40668100118637085, 0.24268099665641785, 0.23568099737167358, 0.2316810041666031, -100000.0, 169.13050842285156, -100000.0, 0.232681006193161, 0.22268100082874298)
2023-03-22 23:30:00 -> (6.335012435913086, 0.6940126419067383, 0.24401263892650604, 0.21101264655590057, 0.20901264250278473, 0.2080126404762268, -100000.0, 156.50527954101562, -100000.0, 0.20901264250278473, 0.19601264595985413)
2023-03-22 23:35:00 -> (6.214012145996094, 0.7890122532844543, 0.41501227021217346, 0.21101227402687073, 0.20401227474212646, 0.2010122686624527, -100000.0, 223.16372680664062, -100000.0, 0.20201227068901062, 0.19601227343082428)
2023-03-22 23:40:00 -> (7.403012752532959, 0.9950127005577087, 0.47001269459724426, 0.21201267838478088, 0.20501267910003662, 0.20301268994808197, -100000.0, 158.61997985839844, -100000.0, 0.2040126770734787, 0.2000126838684082)
2023-03-22 23:45:00 -> (6.423347473144531, 1.0143474340438843, 0.48634740710258484, 0.23734742403030396, 0.2303474247455597, 0.22834742069244385, -100000.0, 184.6485595703125, -100000.0, 0.22934742271900177, 0.22134742140769958)
2023-03-22 23:50:00 -> (6.182681083679199, 0.9776809215545654, 0.4336809515953064, 0.2656809389591217, 0.25868093967437744, 0.23468095064163208, -100000.0, 51.124847412109375, -100000.0, 0.25468096137046814, 0.2266809493303299)
2023-03-22 23:55:00 -> (5.71034574508667, 0.5643458962440491, 0.364345908164978, 0.2203458994626999, 0.2123459130525589, 0.20934590697288513, -100000.0, 187.42115783691406, -100000.0, 0.21134591102600098, 0.20134590566158295)
2023-03-23 00:00:00 -> (5.830345153808594, 0.6683450937271118, 0.3143450915813446, 0.20034509897232056, 0.1983450949192047, 0.19634510576725006, -100000.0, 94.2625503540039, -100000.0, 0.1983450949192047, 0.1933450996875763)
2023-03-23 00:05:00 -> (5.448348045349121, 0.7133482694625854, 0.3823482394218445, 0.271348237991333, 0.26434823870658875, 0.2593482434749603, -100000.0, 115.27705383300781, -100000.0, 0.263348251581192, 0.23334825038909912)
2023-03-23 00:10:00 -> (5.977680206298828, 0.6386799812316895, 0.2526800036430359, 0.22468000650405884, 0.21768000721931458, 0.21668000519275665, -100000.0, 169.14138793945312, -100000.0, 0.21768000721931458, 0.2146800011396408)
2023-03-23 00:15:00 -> (5.653014183044434, 0.7550142407417297, 0.27301421761512756, 0.2400142252445221, 0.23901422321796417, 0.23801422119140625, -100000.0, 46.39448165893555, -100000.0, 0.23901422321796417, 0.2320142239332199)
2023-03-23 00:20:00 -> (5.4306793212890625, 0.9796794652938843, 0.3806794583797455, 0.21867944300174713, 0.21867944300174713, 0.21667945384979248, -100000.0, 120.26077270507812, -100000.0, 0.2176794558763504, 0.21467944979667664)
2023-03-23 00:25:00 -> (5.3636794090271, 0.7906794548034668, 0.36967942118644714, 0.21567942202091217, 0.21567942202091217, 0.21367943286895752, -100000.0, 109.1639633178711, -100000.0, 0.21567942202091217, 0.21067942678928375)
2023-03-23 00:30:00 -> (5.102013111114502, 0.7160130143165588, 0.35901305079460144, 0.23001304268836975, 0.2230130434036255, 0.22201304137706757, -100000.0, 137.76087951660156, -100000.0, 0.2230130434036255, 0.22001303732395172)
2023-03-23 00:35:00 -> (5.430680274963379, 0.5856803059577942, 0.30768030881881714, 0.23868030309677124, 0.2326803058385849, 0.22968031466007233, -100000.0, 117.49744415283203, -100000.0, 0.23168030381202698, 0.22668030858039856)
2023-03-23 00:40:00 -> (5.916681289672852, 1.1446812152862549, 0.5706811547279358, 0.27168118953704834, 0.25568118691444397, 0.2486811727285385, -100000.0, 19.23613929748535, -100000.0, 0.2536811828613281, 0.24268117547035217)
2023-03-23 00:45:00 -> (5.190680503845215, 0.9186803102493286, 0.36468032002449036, 0.25168031454086304, 0.2506802976131439, 0.23868030309677124, -100000.0, 77.4925308227539, -100000.0, 0.24768030643463135, 0.22668030858039856)
2023-03-23 00:50:00 -> (4.319344997406006, 0.6513451933860779, 0.2823452055454254, 0.20234519243240356, 0.2003452032804489, 0.199345201253891, -100000.0, 131.7324981689453, -100000.0, 0.2003452032804489, 0.19734519720077515)
2023-03-23 00:55:00 -> (5.209345817565918, 0.8573458194732666, 0.33334580063819885, 0.21334579586982727, 0.21234580874443054, 0.21134580671787262, -100000.0, 80.26364135742188, -100000.0, 0.21234580874443054, 0.20934580266475677)
2023-03-23 01:00:00 -> (5.305678367614746, 0.8656784296035767, 0.29667845368385315, 0.21767844259738922, 0.21067844331264496, 0.20767845213413239, -100000.0, 120.53407287597656, -100000.0, 0.2086784541606903, 0.19867844879627228)
2023-03-23 01:05:00 -> (5.22101354598999, 0.9130136966705322, 0.340013712644577, 0.2570137083530426, 0.2560137212276459, 0.25001370906829834, -100000.0, 83.80545806884766, -100000.0, 0.25401371717453003, 0.23601371049880981)
2023-03-23 01:10:00 -> (4.5940117835998535, 0.831011950969696, 0.256011962890625, 0.22101198136806488, 0.2130119800567627, 0.21201197803020477, -100000.0, 53.6375846862793, -100000.0, 0.21201197803020477, 0.2040119767189026)
2023-03-23 01:15:00 -> (4.270678997039795, 0.8416789174079895, 0.27967891097068787, 0.24267889559268951, 0.228678897023201, 0.22267889976501465, -100000.0, 146.55567932128906, -100000.0, 0.2246789038181305, 0.21467889845371246)
2023-03-23 01:20:00 -> (5.282344341278076, 0.8653444051742554, 0.2413444221019745, 0.21034441888332367, 0.20934441685676575, 0.20834441483020782, -100000.0, 198.4119873046875, -100000.0, 0.20934441685676575, 0.18934442102909088)
2023-03-23 01:25:00 -> (5.253678321838379, 0.9326784014701843, 0.3626784086227417, 0.2206784188747406, 0.21267841756343842, 0.21067841351032257, -100000.0, 82.51603698730469, -100000.0, 0.21067841351032257, 0.20267841219902039)
2023-03-23 01:30:00 -> (6.140345573425293, 1.0043456554412842, 0.4153456389904022, 0.233345627784729, 0.22534562647342682, 0.22234563529491425, -100000.0, 42.22298812866211, -100000.0, 0.2243456393480301, 0.21334563195705414)
2023-03-23 01:35:00 -> (6.2326788902282715, 0.7686787843704224, 0.23467876017093658, 0.21167875826358795, 0.21067875623703003, 0.20867876708507538, -100000.0, 62.455223083496094, -100000.0, 0.2096787691116333, 0.20667876303195953)
2023-03-23 01:40:00 -> (6.251345634460449, 0.8803454637527466, 0.2563454508781433, 0.2253454625606537, 0.2253454625606537, 0.22434546053409576, -100000.0, 88.76161193847656, -100000.0, 0.22434546053409576, 0.2173454612493515)
2023-03-23 01:45:00 -> (7.642013072967529, 1.2800133228302002, 0.543013334274292, 0.25601330399513245, 0.24801330268383026, 0.24201330542564392, -100000.0, 119.16996002197266, -100000.0, 0.2460133135318756, 0.23601330816745758)
2023-03-23 01:50:00 -> (6.845345973968506, 1.3093459606170654, 0.4113459885120392, 0.23334598541259766, 0.22734598815441132, 0.22534598410129547, -100000.0, 121.78622436523438, -100000.0, 0.2263459861278534, 0.22134599089622498)
2023-03-23 01:55:00 -> (7.415679454803467, 0.7926793694496155, 0.27467936277389526, 0.24467934668064117, 0.2376793473958969, 0.23367935419082642, -100000.0, 12.650777816772461, -100000.0, 0.236679345369339, 0.23067934811115265)
2023-03-23 02:00:00 -> (7.408010959625244, 0.8240107893943787, 0.24201078712940216, 0.22101078927516937, 0.2140107899904251, 0.20701079070568085, -100000.0, 146.95516967773438, -100000.0, 0.21201078593730927, 0.1960107833147049)
2023-03-23 02:05:00 -> (7.886010646820068, 1.1420104503631592, 0.30401045083999634, 0.2160104513168335, 0.2080104500055313, 0.2030104547739029, -100000.0, 82.70540618896484, -100000.0, 0.2070104479789734, 0.19201044738292694)
2023-03-23 02:10:00 -> (8.618343353271484, 1.2823436260223389, 0.47634357213974, 0.2013435810804367, 0.19434358179569244, 0.1923435777425766, -100000.0, 213.94012451171875, -100000.0, 0.19334357976913452, 0.18534357845783234)
2023-03-23 02:15:00 -> (9.105011940002441, 1.1160118579864502, 0.3530118763446808, 0.246011883020401, 0.24501189589500427, 0.22601188719272614, -100000.0, 110.76116943359375, -100000.0, 0.24301189184188843, 0.2200118899345398)
2023-03-23 02:20:00 -> (8.893011093139648, 1.3370110988616943, 0.4340111315250397, 0.22101113200187683, 0.21301113069057465, 0.20801112055778503, -100000.0, 93.48734283447266, -100000.0, 0.21201112866401672, 0.20401112735271454)
2023-03-23 02:25:00 -> (8.704345703125, 1.0053459405899048, 0.3323459029197693, 0.24334591627120972, 0.24134591221809387, 0.2343459129333496, -100000.0, 23.865964889526367, -100000.0, 0.2383459210395813, 0.2293459177017212)
2023-03-23 02:30:00 -> (7.504010200500488, 0.9760102033615112, 0.29601022601127625, 0.2120102196931839, 0.2040102183818817, 0.20201021432876587, -100000.0, 142.8343505859375, -100000.0, 0.2030102163553238, 0.18801021575927734)
2023-03-23 02:35:00 -> (7.04000997543335, 0.8080098032951355, 0.26700979471206665, 0.19000980257987976, 0.18800979852676392, 0.18200980126857758, -100000.0, 138.6278533935547, -100000.0, 0.187009796500206, 0.18000979721546173)
2023-03-23 02:40:00 -> (8.468010902404785, 1.395011067390442, 0.4530111253261566, 0.24301111698150635, 0.2280111163854599, 0.21201111376285553, -100000.0, 160.075927734375, -100000.0, 0.2230111062526703, 0.20401111245155334)
2023-03-23 02:45:00 -> (7.520677089691162, 1.2136772871017456, 0.3596772849559784, 0.208677276968956, 0.20167727768421173, 0.2006772756576538, -100000.0, 129.16355895996094, -100000.0, 0.20167727768421173, 0.19867727160453796)
2023-03-23 02:50:00 -> (7.278011322021484, 0.890011191368103, 0.24001120030879974, 0.21801120042800903, 0.21801120042800903, 0.21401119232177734, -100000.0, 104.41500091552734, -100000.0, 0.21501119434833527, 0.208011195063591)
2023-03-23 02:55:00 -> (8.595677375793457, 0.9056770205497742, 0.337677001953125, 0.20767700672149658, 0.20567700266838074, 0.19367700815200806, -100000.0, 107.08565521240234, -100000.0, 0.20267699658870697, 0.1906770020723343)
2023-03-23 03:00:00 -> (8.778678894042969, 0.960679292678833, 0.27267929911613464, 0.2406793087720871, 0.23467929661273956, 0.2326793074607849, -100000.0, 25.86797523498535, -100000.0, 0.23367930948734283, 0.23067930340766907)
2023-03-23 03:05:00 -> (8.954678535461426, 0.8936784863471985, 0.26667845249176025, 0.23367846012115479, 0.22667846083641052, 0.22467845678329468, -100000.0, 77.26559448242188, -100000.0, 0.2256784588098526, 0.21867845952510834)
2023-03-23 03:10:00 -> (10.099011421203613, 1.0760117769241333, 0.3420117497444153, 0.2530117630958557, 0.23301175236701965, 0.2260117530822754, -100000.0, 70.5320053100586, -100000.0, 0.23001176118850708, 0.22001175582408905)
2023-03-23 03:15:00 -> (7.5036773681640625, 0.8126775622367859, 0.30167755484580994, 0.2306775599718094, 0.2226775586605072, 0.21467755734920502, -100000.0, 48.691959381103516, -100000.0, 0.22067755460739136, 0.20667755603790283)
2023-03-23 03:20:00 -> (9.518675804138184, 1.1056760549545288, 0.40167611837387085, 0.19767610728740692, 0.19067610800266266, 0.18567611277103424, -100000.0, 80.5304946899414, -100000.0, 0.18867610394954681, 0.18267610669136047)
2023-03-23 03:25:00 -> (9.122011184692383, 1.298011064529419, 0.43101105093955994, 0.24101106822490692, 0.23301106691360474, 0.22601106762886047, -100000.0, 90.45186614990234, -100000.0, 0.2310110628604889, 0.21601106226444244)
2023-03-23 03:30:00 -> (10.41667652130127, 1.1936769485473633, 0.34267693758010864, 0.20367693901062012, 0.20367693901062012, 0.20167694985866547, -100000.0, 62.11742401123047, -100000.0, 0.20367693901062012, 0.1986769437789917)
2023-03-23 03:35:00 -> (9.595675468444824, 1.1446751356124878, 0.3426751494407654, 0.18767516314983368, 0.17867515981197357, 0.17267516255378723, -100000.0, 162.82667541503906, -100000.0, 0.1756751537322998, 0.1706751585006714)
2023-03-23 03:40:00 -> (8.756678581237793, 1.083678126335144, 0.41667813062667847, 0.2366781234741211, 0.23567812144756317, 0.23367811739444733, -100000.0, 4.0, -100000.0, 0.23567812144756317, 0.22667811810970306)
2023-03-23 03:45:00 -> (9.446344375610352, 1.0773446559906006, 0.41634467244148254, 0.24734468758106232, 0.24034468829631805, 0.23934468626976013, -100000.0, 4.0, -100000.0, 0.24034468829631805, 0.2373446822166443)
2023-03-23 03:50:00 -> (8.121343612670898, 1.0153436660766602, 0.36534368991851807, 0.21734368801116943, 0.2163437008857727, 0.21534369885921478, -100000.0, 5.960191249847412, -100000.0, 0.2163437008857727, 0.21334369480609894)
2023-03-23 03:55:00 -> (11.815430641174316, 1.3614301681518555, 0.3714301586151123, 0.21043017506599426, 0.20343017578125, 0.20143017172813416, -100000.0, 4.0, -100000.0, 0.20243017375469208, 0.18743017315864563)
2023-03-23 04:00:00 -> (10.118751525878906, 1.3697514533996582, 0.4567514955997467, 0.21275150775909424, 0.20575150847434998, 0.20375150442123413, -100000.0, 72.47767639160156, -100000.0, 0.20375150442123413, 0.1987515091896057)
2023-03-23 04:05:00 -> (10.285299301147461, 0.9862992763519287, 0.3832992911338806, 0.22129930555820465, 0.22129930555820465, 0.20929931104183197, -100000.0, 14.562287330627441, -100000.0, 0.21729931235313416, 0.2062993049621582)
2023-03-23 04:10:00 -> (10.093299865722656, 1.224299669265747, 0.43529966473579407, 0.22229966521263123, 0.21629966795444489, 0.21429966390132904, -100000.0, 4.0, -100000.0, 0.21529966592788696, 0.20629966259002686)
2023-03-23 04:15:00 -> (9.891620635986328, 1.2556203603744507, 0.503620445728302, 0.23462042212486267, 0.22562041878700256, 0.22362041473388672, -100000.0, 4.0, -100000.0, 0.22562041878700256, 0.21762041747570038)
2023-03-23 04:20:00 -> (10.111104965209961, 1.1691049337387085, 0.5311049222946167, 0.23710493743419647, 0.22710493206977844, 0.22410494089126587, -100000.0, 4.0, -100000.0, 0.2261049449443817, 0.21510493755340576)
2023-03-23 04:25:00 -> (10.373204231262207, 1.0492042303085327, 0.33020421862602234, 0.23520420491695404, 0.21420420706272125, 0.1942042112350464, -100000.0, 28.377553939819336, -100000.0, 0.20420420169830322, 0.19120420515537262)
2023-03-23 04:30:00 -> (9.925105094909668, 1.0731053352355957, 0.4091053009033203, 0.22610531747341156, 0.22610531747341156, 0.21810531616210938, -100000.0, 4.0, -100000.0, 0.22210530936717987, 0.2151053100824356)
2023-03-23 04:35:00 -> (10.444525718688965, 1.2435252666473389, 0.5275252461433411, 0.2485252469778061, 0.22552524507045746, 0.21152524650096893, -100000.0, 4.0, -100000.0, 0.21552523970603943, 0.20252524316310883)
2023-03-23 04:40:00 -> (10.05610466003418, 1.1391043663024902, 0.4381043612957001, 0.23810435831546783, 0.23010435700416565, 0.22210435569286346, -100000.0, 16.549747467041016, -100000.0, 0.2281043529510498, 0.2151043564081192)
2023-03-23 04:45:00 -> (9.461882591247559, 0.909882664680481, 0.476882666349411, 0.19788266718387604, 0.1918826550245285, 0.19088266789913177, -100000.0, 8.985810279846191, -100000.0, 0.19088266789913177, 0.17988266050815582)
2023-03-23 04:50:00 -> (9.144525527954102, 0.928525447845459, 0.4635254442691803, 0.21252544224262238, 0.2055254429578781, 0.2045254409313202, -100000.0, 4.0, -100000.0, 0.2055254429578781, 0.20252543687820435)
2023-03-23 04:55:00 -> (9.870942115783691, 1.3439416885375977, 0.5539417266845703, 0.25394174456596375, 0.25294172763824463, 0.24694174528121948, -100000.0, 4.0, -100000.0, 0.2519417405128479, 0.22894173860549927)
