|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2022     72       3     35     -0.1776
2022     72       3     40    222.7139
2022     72       3     45    223.7962
2022     72       3     50    223.8305
2022     72       3     55    223.3328
2022     72       4      0    224.7062
2022     72       4      5    223.5033
2022     72       4     10    224.7211
2022     72       4     15    225.2408
2022     72       4     20    226.4921
2022     72       4     25    226.7247
2022     72       4     30    226.5189
2022     72       4     35    225.1943
2022     72       4     40    225.8629
2022     72       4     45    225.6381
2022     72       4     50    225.6399
2022     72       4     55    226.4540
2022     72       5      0    225.3601
2022     72       5      5    225.9089
2022     72       5     10    226.7476
2022     72       5     15    227.0508
2022     72       5     20    227.0082
2022     72       5     25    227.7293
2022     72       5     30    227.4034
2022     72       5     35    228.7808
2022     72       5     40    228.6447
2022     72       5     45    228.4550
2022     72       5     50    229.8786
2022     72       5     55    229.0697
2022     72       6      0    229.7402
2022     72       6      5    230.4252
2022     72       6     10    230.4432
2022     72       6     15    230.4918
2022     72       6     20    228.9764
2022     72       6     25    230.1027
2022     72       6     30    230.8676
2022     72       6     35    229.5621
2022     72       6     40    230.0758
2022     72       6     45    230.9991
2022     72       6     50    229.9591
2022     72       6     55    231.8089
2022     72       7      0    231.1521
2022     72       7      5    230.9235
2022     72       7     10    230.6960
2022     72       7     15    230.3263
2022     72       7     20    231.2274
2022     72       7     25    232.2262
2022     72       7     30    233.6845
2022     72       7     35    233.6826
2022     72       7     40    233.5341
2022     72       7     45    232.3212
2022     72       7     50    231.4366
2022     72       7     55    232.8874
2022     72       8      0    231.6326
2022     72       8      5    232.1943
2022     72       8     10    232.3717
2022     72       8     15    233.3538
2022     72       8     20    233.6119
2022     72       8     25    233.7665
2022     72       8     30    233.9512
2022     72       8     35    233.8668
2022     72       8     40    233.8807
2022     72       8     45    233.8992
2022     72       8     50    233.1578
2022     72       8     55    234.5397
2022     72       9      0    234.6545
2022     72       9      5    234.6969
2022     72       9     10    237.7390
2022     72       9     15    236.8606
2022     72       9     20    237.1425
2022     72       9     25    236.8556
2022     72       9     30    237.2723
2022     72       9     35    237.0686
2022     72       9     40    235.5653
2022     72       9     45    237.6318
2022     72       9     50    236.6417
2022     72       9     55    237.5258
2022     72      10      0    238.2542
2022     72      10      5    238.7810
2022     72      10     10    237.1371
2022     72      10     15    238.0075
2022     72      10     20    239.4215
2022     72      10     25    239.3012
2022     72      10     30    254.2219
2022     72      10     35    249.3396
2022     72      10     40    242.0281
2022     72      10     45    259.7871
2022     72      10     50    245.4891
2022     72      10     55    246.5644
2022     72      11      0    239.0379
2022     72      11      5    245.7318
2022     72      11     10    255.6131
2022     72      11     15    263.8393
2022     72      11     20    265.6136
2022     72      11     25    263.8399
2022     72      11     30    261.0833
2022     72      11     35    266.4389
2022     72      11     40    259.7487
2022     72      11     45    261.9959
2022     72      11     50    258.3310
2022     72      11     55    270.9692
2022     72      12      0    273.2292
2022     72      12      5    276.1892
2022     72      12     10    279.0230
2022     72      12     15    280.6388
2022     72      12     20    283.8310
2022     72      12     25    285.9398
2022     72      12     30    288.7836
2022     72      12     35    288.4461
2022     72      12     40    289.6292
2022     72      12     45    291.7381
2022     72      12     50    290.5576
2022     72      12     55    292.1859
2022     72      13      0    293.7888
2022     72      13      5    293.5804
2022     72      13     10    294.9115
2022     72      13     15    296.0628
2022     72      13     20    296.4882
2022     72      13     25    293.5840
2022     72      13     30    289.3117
2022     72      13     35    288.5792
2022     72      13     40    288.2585
2022     72      13     45    287.8148
2022     72      13     50    294.1680
2022     72      13     55    295.8435
2022     72      14      0    298.1730
2022     72      14      5    299.1156
2022     72      14     10    299.3614
2022     72      14     15    297.8467
2022     72      14     20    294.3272
2022     72      14     25    292.4430
2022     72      14     30    292.8093
2022     72      14     35    288.5872
2022     72      14     40    284.4800
2022     72      14     45    279.9110
2022     72      14     50    279.0276
2022     72      14     55    279.2410
2022     72      15      0    281.8224
2022     72      15      5    282.4735
