X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2023     81      23     35        0.00    13.416
2023     81      23     40        0.00    13.416
2023     81      23     45        0.00    13.416
2023     81      23     50        0.00    13.416
2023     81      23     55        0.00    13.416
2023     82       0      0        0.00    13.416
2023     82       0      5        0.00    13.416
2023     82       0     10        0.00    13.416
2023     82       0     15        0.00    13.416
2023     82       0     20        0.00    13.416
2023     82       0     25        0.00    13.416
2023     82       0     30        0.00    13.416
2023     82       0     35        0.00    13.416
2023     82       0     40        0.00    13.416
2023     82       0     45        0.00    13.416
2023     82       0     50        0.00    13.416
2023     82       0     55        0.00    13.416
2023     82       1      0        0.00    13.416
2023     82       1      5        0.00    13.416
2023     82       1     10        0.00    13.416
2023     82       1     15        0.00    13.416
2023     82       1     20        0.00    13.416
2023     82       1     25        0.00    13.416
2023     82       1     30        0.00    13.416
2023     82       1     35        0.00    13.416
2023     82       1     40        0.00    13.416
2023     82       1     45        0.00    13.416
2023     82       1     50        0.00    13.416
2023     82       1     55        0.00    13.416
2023     82       2      0        0.00    13.416
2023     82       2      5        0.00    13.416
2023     82       2     10        0.00    13.416
2023     82       2     15        0.00    13.416
2023     82       2     20        0.00    13.416
2023     82       2     25        0.00    13.416
2023     82       2     30        0.00    13.416
2023     82       2     35        0.00    13.416
2023     82       2     40        0.00    13.416
2023     82       2     45        0.00    13.416
2023     82       2     50        0.00    13.416
2023     82       2     55        0.00    13.416
2023     82       3      0        0.00    13.416
2023     82       3      5        0.00    13.416
2023     82       3     10        0.00    13.416
2023     82       3     15        0.00    13.416
2023     82       3     20        0.00    13.416
2023     82       3     25        0.00    13.416
2023     82       3     30        0.00    13.416
2023     82       3     35        0.00    13.416
2023     82       3     40        0.00    13.416
2023     82       3     45        0.00    13.416
2023     82       3     50        0.00    13.416
2023     82       3     55        0.00    13.416
2023     82       4      0        0.00    13.416
2023     82       4      5        0.00    13.416
2023     82       4     10        0.00    13.416
2023     82       4     15        0.00    13.416
2023     82       4     20        0.00    13.416
2023     82       4     25        0.00    13.416
2023     82       4     30        0.00    13.416
2023     82       4     35        0.00    13.416
2023     82       4     40        0.00    13.416
2023     82       4     45        0.00    13.416
2023     82       4     50        0.00    13.416
2023     82       4     55        0.00    13.416
2023     82       5      0        0.00    13.416
2023     82       5      5        0.00    13.416
2023     82       5     10        0.00    13.416
2023     82       5     15        0.00    13.416
2023     82       5     20        0.00    13.416
2023     82       5     25        0.00    13.416
2023     82       5     30        0.00    13.416
2023     82       5     35        0.00    13.416
2023     82       5     40        0.00    13.416
2023     82       5     45        0.00    13.416
2023     82       5     50        0.00    13.416
2023     82       5     55        0.00    13.416
2023     82       6      0        0.00    13.416
2023     82       6      5        0.00    13.416
2023     82       6     10        0.00    13.416
2023     82       6     15        0.00    13.416
2023     82       6     20        0.00    13.416
2023     82       6     25        0.00    13.416
2023     82       6     30        0.00    13.416
2023     82       6     35        0.00    13.416
2023     82       6     40        0.00    13.416
2023     82       6     45        0.00    13.416
2023     82       6     50        0.00    13.416
