#  Format: 
#    1) Maximal reconnection rate at closest pressure dip 
#   2) Distance from earth 
#   3) Rate from critical 
#   4) Distance from critical
7017.1792 5.3091 85.2804 5.3435
192.1862 5.1168 86.6832 5.2430
186.5135 5.1726 60.0186 5.2966
596.2180 5.5955 271.9043 5.6330
69.5217 5.6873 19.6474 5.5601
184.7777 4.9156 206.2342 5.0959
2546.5945 5.5903 51.1150 5.3435
108.4274 5.4269 21.4140 5.3507
61362.7283 5.2819 108.2999 5.3435
252.8995 5.7035 32.3714 5.5513
1357.8103 5.1813 109.2523 5.2933
4355.6204 5.5774 79.9961 5.4974
2104.2761 5.3841 249.9822 5.4768
448.5510 5.6679 145.0057 5.7327
1466.1082 5.4283 279.5956 5.3708
152.5807 5.2768 19.2560 5.3970
196.9925 5.0012 151.4506 5.1461
886.6879 5.8012 56.6899 5.4472
204.9241 5.0315 50.2427 5.2002
7.8002 7.7582 3.5505 5.9207
168.8908 5.3220 24.0401 5.3005
447.2639 5.6065 1291.4911 5.4207
119.3100 5.4105 30.4473 5.4008
7.6849 7.7582 3.0567 5.9707
103.4647 5.5788 7.9890 5.5053
62.9916 6.1305 20.4222 6.1451
224.4535 4.9582 163.8546 5.0422
1912.5097 5.5530 61.4137 5.4974
349.4356 4.9492 128.4337 5.1501
188.6272 5.1661 28.7962 5.2966
65.7374 5.6637 8.7716 5.6152
27.8539 6.0357 9.5634 6.1883
5513.8241 5.5042 76.4975 5.4472
1435.4254 5.2282 114.3971 5.2933
262.1810 4.9156 201.9380 5.0422
70.4581 5.6637 9.0026 5.5651
303.0155 4.9010 92.7860 5.0458
2278.3188 5.2218 104.8656 5.2933
462.0273 5.7152 28.8402 5.4472
1310.7070 5.4677 55.8223 5.4472
5721.9540 5.6188 229.3289 5.3208
2206.2183 5.6624 33.0619 5.3937
108.6140 5.4184 76.6468 5.2966
7.4829 7.7582 2.7445 5.9707
200.6678 5.3312 92.5642 5.2430
678.9343 5.0115 152.0686 5.1963
605.3948 5.9784 97.2486 5.9823
181.6971 5.3995 14.7403 5.3937
3.4654 7.2997 2.4596 6.0708
214.6027 5.0618 122.1864 5.1963
501.8654 4.8796 149.6526 4.9920
534.0551 4.8681 165.1832 4.9920
146.3857 5.7902 20.9679 5.5513
127.2601 5.3766 29.3730 5.4008
146.2739 5.1861 65.4601 5.3507
1039.3995 5.1145 143.2532 5.2430
325.4908 5.0602 226.8821 5.2465
4448.1697 5.1842 120.7507 5.2933
3018.4915 5.1881 108.5822 5.2966
1377.6527 5.1145 131.9184 5.2430
141.0422 5.2383 52.7561 5.3005
296.8965 4.8681 145.2604 4.9920
36012.7585 5.3728 95.7832 5.3435
467.4466 4.8612 172.4699 4.9956
542.0925 5.7035 29.9667 5.4472
2826.1436 5.1514 138.9784 5.2933
104.6593 5.6274 34.2935 5.4510
41.0172 5.7447 4.9388 5.7207
35.1422 5.8698 7.5519 5.7207
8.6838 7.8269 2.5644 5.8764
49.7720 6.0429 3.6377 6.1950
92.7822 5.9918 8.7648 6.1384
8237.9217 5.1597 139.1264 5.2933
398.4367 4.8803 199.7420 5.0458
254.2288 5.6547 33.6779 5.5513
3138.4983 5.2815 229.3024 5.3598
177.8815 5.4151 11.1344 5.3937
68.8905 6.1066 29.0362 6.1451
54.5004 6.0429 10.8947 6.1451
3.1058 7.2997 0.6026 6.1763
295.3883 4.9084 72.9008 5.0959
28.4189 5.8482 2.4364 5.7707
4547.0587 5.2440 97.1373 5.2933
367.6906 5.8012 37.5472 5.4974
258.7806 5.7035 32.6535 5.5513
314.2024 5.0416 214.3170 5.2465
1230.3520 4.9932 198.8547 5.1461
57.8242 5.7025 15.6413 5.6102
255.9457 4.8612 174.4214 5.0458
58.7313 5.7541 3.5444 5.6707
608.8872 5.3708 104.8800 5.2401
79.0982 5.6605 13.9624 5.5601
1370.9097 5.0776 219.0123 5.2465
196.9305 5.7035 25.7478 5.5513
174.8463 5.1323 83.3370 5.2966
162.4371 5.2038 31.9983 5.3507
