#  Format: 
#    1) Maximal reconnection rate at closest pressure dip 
#   2) Distance from earth 
#   3) Rate from critical 
#   4) Distance from critical
393.7969 6.7139 95.6416 5.1098
121.5511 5.7656 193.1809 5.1953
270.6160 6.5177 202.1911 5.1366
5.2424 7.1538 nan nan
1008.6222 6.5061 428.3936 5.0901
651.9583 6.9315 106.0580 5.0713
1.8360 7.1593 nan nan
2.3321 7.1593 nan nan
336.5175 6.1916 101.5502 5.9513
208.5875 5.8822 101.5412 5.6314
4.7152 7.1639 nan nan
211.0079 5.9372 66.1033 5.7600
42.5347 6.0830 19.4565 5.9727
4.9934 7.1639 nan nan
798.4743 6.5837 355.3624 5.0441
496.1401 6.6612 184.3527 4.9917
40.7834 5.7364 431.4580 5.0901
12.8722 7.1619 6.0800 6.2424
257.7141 5.4140 178.7684 5.3286
2841.8941 5.8430 64.6829 5.5892
5.8846 7.1751 nan nan
2.0862 7.1593 nan nan
79432.2142 5.6889 141.9258 5.4513
191500.7593 6.8109 279.6872 4.9521
425.3206 5.8333 186.9810 5.7271
6.9759 7.1484 nan nan
343.4674 5.9636 66.7549 5.7271
11.6146 7.1287 nan nan
3.6503 7.1639 nan nan
15.6131 7.1232 12.1035 6.3031
150.2724 5.6407 418.8204 5.2280
1310.9696 6.8326 253.7546 4.9455
15.2876 7.1178 nan nan
5.9726 7.1751 nan nan
190.4975 5.7000 547.1872 5.2542
295.9645 5.5590 101.3329 5.3014
259.9787 5.6674 421.7536 5.2542
168.6527 5.6673 402.4146 5.2870
1598.9253 5.5595 940.9992 5.4578
9.8554 7.1345 nan nan
12.2476 7.1232 nan nan
9.5687 7.1484 nan nan
1139.8987 6.7554 315.1049 4.9849
406.7709 5.6634 554.9922 5.4249
53.4230 6.2356 16.1620 6.1220
238.6326 6.2031 57.0561 5.9244
160.8167 5.7476 210.5824 5.2280
107.4559 5.6735 336.4398 5.1953
12.4992 7.1232 nan nan
4326.6524 6.7855 307.7558 4.9000
14.7036 7.1178 nan nan
47.6659 5.8145 437.1097 5.1163
194.8553 6.1713 43.0852 5.9307
201.8586 5.7148 219.3100 5.2608
16.9584 7.1562 14.6803 6.0057
17.0959 7.1232 14.4112 6.2039
342.9169 5.8258 37.0969 5.6550
10.2731 7.1345 nan nan
476.6860 5.5637 501.7548 5.3527
22.4741 6.2153 6.2861 6.2659
4.5095 7.1751 nan nan
69.5365 6.1322 25.0172 6.0890
5500.4316 6.8820 159.2865 4.9720
14.7377 7.1619 7.6297 6.1103
107.7702 5.7029 383.6302 5.2542
14.5033 7.1232 nan nan
10.2383 7.1345 nan nan
4.0825 7.1869 nan nan
200.9020 5.5601 150.4334 5.4277
5.1763 7.1639 nan nan
111.8900 6.0997 39.0289 6.0232
8.5033 7.1538 nan nan
13.7009 7.1619 6.6387 6.1763
11.4072 7.1287 nan nan
481.9603 6.6671 101.5846 5.0387
1180.7948 6.5590 379.2487 5.0834
310.3540 5.7039 508.6759 5.3921
128.5594 6.1590 37.5130 5.9783
143.1983 6.1775 27.5605 5.9372
1070.2101 6.7860 160.7031 4.9590
174604.3056 6.8810 206.8007 4.9391
10.3577 7.1345 nan nan
170.3933 5.7417 87.2585 5.6644
4.8287 7.1639 nan nan
34883.0771 6.8663 291.0437 4.9521
14.2870 7.1178 nan nan
94.2851 5.8465 55.9752 5.8350
326.5188 6.7052 79.7900 5.0770
203.2447 6.1450 50.1867 5.9372
